key,title,year,authors,RAYYAN-LABELS,status,population,exposure,control,outcome,Search,study location,system,remarks
rayyan-811287026,"Fear of the human ""super predator"" far exceeds the fear of large carnivores in a model mesocarnivore",2016,"Clinchy, M and Zanette, LY and Roberts, D and Suraci, JP and Buesching, CD and Newman, C and Macdonald, DW",data,Included,badgers (Meles meles),human playback,"dog, bear and wolf playbacks","latency to feed, vigilance, foraging time, number of feeding visits, and number of badgers feeding",,,,
rayyan-811287033,"Prey tells, large herbivores fear the human 'super predator'",2022,"Crawford, DA and Conner, LM and Clinchy, M and Zanette, LY and Cherry, MJ",data,Included,white-tailed deer,human playback,"predators (coyotes, cougars, dogs, wolves) or non-predator (birds) calls","foraging behaviour, feeding time, vigilance",,,,
rayyan-811287035,Mesopredators retain their fear of humans across a development gradient,2022,"Reilly, CM and Suraci, JP and Smith, JA and Wang, YW and Wilmers, CC",data,Included,"bobcats (Lynx rufus), striped skunks (Mephitis mephitis), and Virginia opossums (Didelphis virginiana)",human playback in multiple regions that vary on a human footprint gradient,-,activity levels,,California's Santa Cruz Mountains,,
rayyan-811287040,Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice,2019,"Suraci, JP and Clinchy, M and Zanette, LY and Wilmers, CC",data,Included,multiple trophic levels,human playback,-,"vigilance, habitat use, foraging behaviour",,,,
rayyan-811287050,Fear of the human 'super predator' reduces feeding time in large carnivores,2017,"Smith, JA and Suraci, JP and Clinchy, M and Crawford, A and Roberts, D and Zanette, LY and Wilmers, CC",data,Included,puma,human playback,frog playback (non predator),"feeding behaviour, time taken to return",,,,
rayyan-811287054,Context dependence of risk effects: wolves and tree logs create patches of fear in an old-growth forest,2015,"Kuijper, DPJ and Bubnicki, JW and Churski, M and Mols, B and van Hooft, P",data,Maybe,red deer,human settlements,-,"vigilance, space use",,"Bialowieza Primeval Forest, Poland",,"also exposed to ""wolf core area""; controls unclear"
rayyan-811287056,Human observers impact habituated samango monkeys' perceived landscape of fear,2014,"Nowak, K and le Roux, A and Richards, SA and Scheijen, CPJ and Hill, RA",data,Included,samango monkeys,human observers,high natural predator density,giving-up-densities at different height levels,,,,
rayyan-811287058,Landscape of human fear in Neotropical rainforest mammals,2020,"Mendes, CP and Carreira, D and Pedrosa, F and Beca, G and Lautenschlager, L and Akkawi, P and Berce, W and Ferraz, KMPMB and Galetti, M",data,Included,17 mammal species,human activity,-,diel activity patterns,,,neotropical rainforest,
rayyan-811287059,A human-induced landscape of fear influences foraging behavior of brown bears,2019,"Lodberg-Holm, HK and Gelink, HW and Hertel, AG and Swenson, E and Domevscik, M and Steyaert, SMJG",data,Included,brown bears,hunting,-,"mortality, selection of foraging areas",,Sweden,,
rayyan-811287063,Parental habituation to human disturbance over time reduces fear of humans in coyote offspring,2018,"Schell, CJ and Young, JK and Lonsdorf, EV and Santymire, RM and Mateo, JM",data,Maybe,coyote,human observer,,"foraging behaviour, risk-aversion levels",,,,
rayyan-811287066,Energetics and fear of humans constrain the spatial ecology of pumas,2021,"Nickel, BA and Suraci, JP and Nisi, AC and Wilmers, CC",data,Included,puma,human presence gradient,-,"travel distance, space use",,,,
rayyan-811287069,An applied ecology of fear framework: linking theory to conservation practice,2021,"Gaynor, KM and Cherry, MJ and Gilbert, SL and Kohl, MT and Larson, CL and Newsome, TM and Prugh, LR and Suraci, JP and Young, JK and Smith, JA",data,Included,,,,,,,,
rayyan-811287074,Habituation reverses fear-based ecological effects in brown bears (Ursus arctos),2016,"Wheat, RE and Wilmers, CC",data,Included,brown bears,gradient of human disturbance,bears that were habituated to human disturbance,"foraging behaviour, diel activity patterns",,"Southeastern Alaska, USA",,
