"cite.key","study_type","sampling","sampling_time","pop_cn","pop_sn","exposure","control","outcome","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"barriEffectsGroupSize2012","treatment-control","FIS",600,"Lesser Rhea","Rhea pennata pennata","hunting","negative control","vigilance","hunted","",125.28,"proportion","time",11.46,NA,NA,"se",NA,30,"",10.9319371727749
"barriEffectsGroupSize2012","treatment-control","FIS",600,"Lesser Rhea","Rhea pennata pennata","hunting","negative control","vigilance","control","",89.64,"proportion","time",6.9,NA,NA,"se",NA,36,"",12.9913043478261
"barriEffectsGroupSize2012","treatment-control","FIS",600,"Lesser Rhea","Rhea pennata pennata","hunting","negative control","foraging","hunted","",334.5,"proportion","time",31.02,NA,NA,"se",NA,30,"",10.7833655705996
"barriEffectsGroupSize2012","treatment-control","FIS",600,"Lesser Rhea","Rhea pennata pennata","hunting","negative control","foraging","control","",416.1,"proportion","time",32.16,NA,NA,"se",NA,36,"",12.9384328358209
"benevidesFearinducedBehaviouralModifications2019","treatment-control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active disturbance","negative control","foraging","active disturbance","scuba diver",13.2,"","bites",7.92,NA,NA,"sd",-1,15,"",1.66666666666667
"benevidesFearinducedBehaviouralModifications2019","treatment-control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active disturbance","negative control","foraging","control","scuba diver",43.53,"","bites",20.97,NA,NA,"sd",-1,15,"",2.0758226037196
"benevidesFearinducedBehaviouralModifications2019","treatment-control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active disturbance","negative control","foraging","active disturbance","snorkeler",10.87,"","bites",11.03,NA,NA,"sd",-1,15,"",0.985494106980961
"benevidesFearinducedBehaviouralModifications2019","treatment-control","scan",NA,"Dusky Damselfish","Stegastes fuscus","active disturbance","negative control","foraging","control","snorkeler",31.8,"","bites",20.49,NA,NA,"sd",-1,15,"",1.55197657393851
"benhaiemHuntingIncreasesVigilance2008","treatment-control","FIS",900,"Roe Deer","Capreolus capreolus","hunting","negative control","vigilance","control","",217.89,"proportion","time",130.95,NA,NA,"sd",NA,44,"",1.6639175257732
"benhaiemHuntingIncreasesVigilance2008","treatment-control","FIS",900,"Roe Deer","Capreolus capreolus","hunting","negative control","vigilance","treatement","",339.93,"proportion","time",168.66,NA,NA,"sd",NA,44,"",2.01547491995731
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","vigilance","negative control","dog",4,"proportion","time",0.428571428571429,4.68,3,"ci",NA,257,"",9.33333333333333
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","vigilance","negative control","human",4,"proportion","time",0.428571428571429,4.68,3,"ci",NA,257,"",9.33333333333333
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","vigilance","natural predator","dog",25.52,"proportion","time",3.73469387755102,29.64,15,"ci",NA,138,"",6.83322404371585
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","vigilance","active disturbance","human",18.2,"proportion","time",2.10204081632653,21.84,13.6,"ci",NA,137,"",8.65825242718446
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","foraging","negative control","dog",28.76,"proportion","time",2.98979591836735,32.72,21,"ci",NA,257,"",9.61938566552901
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","foraging","negative control","human",28.76,"proportion","time",2.98979591836735,32.72,21,"ci",NA,257,"",9.61938566552901
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","foraging","natural predator","dog",3.52,"proportion","time",0.938775510204082,5.4,1.72,"ci",NA,138,"",3.7495652173913
"bhardwajInducingFearUsing2022","playback","FIS",40,"Moose","Alces alces","hunting/dog","positive control/negative control","foraging","active disturbance","human",3,"proportion","time",0.193877551020408,0.68,1.44,"ci",NA,137,"",15.4736842105263
"camillewardPredictorsVigilanceAmerican1997","correlational","",NA,"American Crow","Corvus branchyrhynchos","passive disturbance","none","vigilance","passive disturbance","",-0.01,"square root proportion","coefficient",0.004,NA,NA,"se",-1,46,"time",2.5
"cappaEffectsRoadsBehaviour2017","correlational","FIS",NA,"Guanco","Lama guanicoe","passive disturbance","none","vigilance","passive disturbance","",0.34,"proportion","coefficient",0.130102040816327,0.59,0.08,"ci",-1,172,"",2.61333333333333
"cappaEffectsRoadsBehaviour2017","correlational","FIS",NA,"Guanco","Lama guanicoe","passive disturbance","none","foraging","passive disturbance","",-0.2,"proportion","coefficient",0.0918367346938776,-0.02,-0.38,"ci",-1,182,"",2.17777777777778
"chen-krausHumanLemurCoexistenceMultipleUse2022","correlational","FIS",1200,"Verreaux’s Sifaka","Propicthecus verreauxi","passive disturbance","none","vigilance","passive disturbance","",1.59,"","odds",0.211734693877551,2.06,1.23,"ci",NA,51,"",7.50939759036145
"chen-krausHumanLemurCoexistenceMultipleUse2022","correlational","FIS",1200,"Verreaux’s Sifaka","Propicthecus verreauxi","passive disturbance","none","foraging","passive disturbance","",-0.43,"proportion","coefficient",0.280612244897959,0.12,-0.98,"ci",NA,51,"",1.53236363636364
"ciutiEffectsHumansBehaviour2012","treatment-control","FIS",NA,"Elk","Cervus elaphus","active disturbance","none","foraging","active disturbance","",0.3239,"arcsine squareroot proportion","time",0.096,NA,NA,"se",NA,188,"",3.37395833333333
"ciutiEffectsHumansBehaviour2012","treatment-control","FIS",NA,"Elk","Cervus elaphus","active disturbance","none","foraging","control","",0.9919,"arcsine squareroot proportion","time",0.0781,NA,NA,"se",NA,188,"",12.7003841229193
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","hunted","human",123,"","time",10.5,NA,NA,"se",NA,49,"",11.7142857142857
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","natural predator","dog",120,"","time",8.24,NA,NA,"se",NA,49,"",14.5631067961165
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","natural predator","wolf",121,"","time",3.2,NA,NA,"se",NA,49,"",37.8125
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","natural predator","bear",123,"","time",5.09,NA,NA,"se",NA,49,"",24.1650294695481
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","human",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","dog",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","wolf",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","bear",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","natural predator","bear",22.3,"","time",3.95,NA,NA,"se",NA,49,"",5.64556962025316
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","bear",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","natural predator","dog",22.4,"","time",7.44,NA,NA,"se",NA,49,"",3.01075268817204
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","dog",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","hunted","human",16.6,"","time",4.84,NA,NA,"se",NA,49,"",3.4297520661157
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","human",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","natural predator","wolf",27.3,"","time",7.28,NA,NA,"se",NA,49,"",3.75
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","wolf",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","natural predator","bear",89.1,"","time",9.14,NA,NA,"se",NA,49,"",9.74835886214442
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","bear",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","natural predator","dog",78.4,"","time",13.7,NA,NA,"se",NA,49,"",5.72262773722628
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","dog",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","hunted","human",143,"","time",16.6,NA,NA,"se",NA,49,"",8.6144578313253
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","human",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","natural predator","wolf",40.3,"","time",12.1,NA,NA,"se",NA,49,"",3.33057851239669
