"cite.key","Title","Authors","year"
"puigInfluenceHumanActivities","Influence of human activities, social and environmental variables on the behavior of guanacos in Southern Andean Precordillera (Argentina)","S Puig, F Videla, MI Rosi",NA
"zugmeyerAvianRiskAssessment","Avian risk assessment Effects of perching height and detectability","C. Zugmeyer",NA
"hunterLandUsesBotswana1996","Land uses on the Botswana/Zimbabwe border and their effects on buffalo","C.G. Hunter","1996"
"gotmarkPreySelectionSparrowhawks1996","Prey selection by sparrowhawks, Accipiter nisus Relative predation risk for breeding passerine birds in relation to their size, ecology and behaviour","F Gotmark, P Post","1996"
"gillMethodQuantifyEffects1996","A method to quantify the effects of human disturbance on animal populations","JA Gill, WJ Sutherland, AR Watkinson","1996"
"bowersForagingGraySquirrels1996","Foraging of gray squirrels on an urban-rural gradient Use of the GUD to assess anthropogenic impact","MA Bowers, B Breland","1996"
"rosellResponsesForagingEurasian2000","Responses of foraging Eurasian beavers Castor fiber to predator odours","F Rosell, A Czech","2000"
"fernandez-juricicEffectsHumanDisturbance2000","Effects of human disturbance on spatial and temporal feeding patterns of Blackbird Turdus merula in urban parks in Madrid, Spain","E Fernandez-Juricic, JL Telleria","2000"
"cooperTradeoffsPredationRisk2000","Tradeoffs between predation risk and feeding in a lizard, the broad-headed skink (Eumeces laticeps)","WE Cooper","2000"
"hendersonBehaviourDomesticDucks2001","Behaviour of domestic ducks exposed to mobile predator stimuli. 1. Flock responses","J.V. Henderson, C.J. Nicol, J.A. Lines, R.P. White, C.M. Wathes","2001"
"stillmanSeasonalChangesResponse2002","Seasonal changes in the response of oystercatchers Haematopus ostralegus to human disturbance","RA Stillman, JD Goss-Custard","2002"
"fridHumancausedDisturbanceStimuli2002","Human-caused disturbance stimuli as a form of predation risk","A Frid, L Dill","2002"
"manorImpactHumanNuisance2003","Impact of human nuisance disturbance on vigilance and group size of a social ungulate","R Manor, D Saltz","2003"
"fernandez-juricicVariationsScanningBehavior2003","Do variations in scanning behavior affect tolerance to human disturbance?","E Fernandez-Juricic, N Schroeder","2003"
"fernandez-juricicTestingRiskdisturbanceHypothesis2003","Testing the risk-disturbance hypothesis in a fragmented landscape Nonlinear responses of House Sparrows to humans","E Fernandez-Juricic, A Sallent, R Sanz, I Rodriguez-Prieto","2003"
"blumsteinFlightinitiationDistanceBirds2003","Flight-initiation distance in birds is dependent on intruder starting distance","DT Blumstein","2003"
"yasueEffectsHumanPresence2005","The effects of human presence, flock size and prey density on shorebird foraging rates","M Yasue","2005"
"webbVariationHumanDisturbance2005","Variation in human disturbance differentially affects predation risk assessment in Western Gulls","NV Webb, DT Blumstein","2005"
