File52,study_type,sampling,sampling_time,exposure,pop_cn,pop_sn,outcome,control,comment
barriEffectsGroupSize2012,treatment-control,FIS,600,hunting,Lesser rhea,Rhea pennata pennata,vigilance time/foraging time,negative control,
benevidesFearinducedBehaviouralModifications2019,treatment-control,scan,,active disturbance,Dusky damselfish,Stegastes fuscus,foraging time/habitat selection,negative control,bite rate measured totally for a given territory
benhaiemHuntingIncreasesVigilance2008,treatment-control,FIS,900,hunting,roe deer,Capreolus capreolus,vigilance time,negative control,temporal gradient of hunting (seaon/off season)
bhardwajInducingFearUsing2022,playback,FIS,40,hunting/dog,moose,Alces alces,feeding time/vigilance time,positive control/negative control,
camillewardPredictorsVigilanceAmerican1997,correlational,,,passive disturbance,american crow,Corvus branchyrhynchos,,none,
cappaEffectsRoadsBehaviour2017,correlational,FIS,,passive disturbance,Guanco,Lama guanicoe,vigilance,none,
chen-krausHumanLemurCoexistenceMultipleUse2022,correlational,FIS,1200,passive disturbance,Verreaux’s Sifaka,Propicthecus verreauxi,foraging time/vigilance time,none,"passive interactions (dogs, livestock, vehicles) also included as predictors"
ciutiEffectsHumansBehaviour2012,treatment-control,FIS,,active disturbance,Elk,Cervus elaphus,,none,
clinchyFearHumanSuper2016,playback,FIS,150,hunting/natural predator,Badger,Meles meles,foraging rate/vigilance rate/foraging time/vigilance time,negative control/positive control,
crawfordPreyTellsLarge2022,playback,FIS,10,human playback,whitetailed deer,,foraging time/vigilance time/latency to feed,natural predator playback,raw data available on dryad -- calculate raw foraging time (proportion)
cristinavallinoBehaviouralResponsesHuman2019,correlational,,,active disturbance,Alpine chough,Pyrrhocorax graculus,"foraging time/prob. flight, density",negative control,
crosmaryVulnerabilityPredationWater2012,correlational,FIS,120,hunting,Multispecies,,vigilance time,negative control,
fernandez-juricicEffectsHumanDisturbance2000,treatment-control,FIS,420,active disturbance,Blackbird,Turdus merula,vigilance time/foraging time,negative control,-
gavinPronghornAntilocapraAmericana2006,treatment-control,FIS,600,passive disturbance,pronghorn antelope,Antilocapra americana,vigilance time/foraging time,negative control,distance from road used as categorical control
gerte.olssonEffectsHuntingWillow1996,treatment-control,,,hunting,willow grouse,Lagopus lagopus,"movement rate, displacement",negative control,
giordanoPreyResponsesPredation2022,treatment-control,FIS,45,passive disturbance,Multispecies,Tamias striatus/Peromyscus leucopus,GUD/foraging time/vigilance time,positive control,should lack of mouse vigilance be included in meta-analysis?/ playback
grignolioEffectsHuntingHounds2011,treatment-control,-,-,hunting,roe deer,-,range size,negative control,
jayakodyRedDeerCervus2008,treatment-control,scan,,hunting/active disturbance,Red deer,Cervus elaphus,vigilance time/foraging time/vigilance frequency/foraging frequency,negative,not focal animal sampling
lesmerisesRefugePredationRisk2017,treatment-control,FIS,1800,passive disturbance,Gaspesie caribou,Rangifer tarandus caribou,collective vigilance/vigilance time,none,state-dependence of human effects on herbivore --  reproductive state --  human sheild effect
liCollectiveVigilanceWintering2016,treatment-control,scan,9000,active disturbance,Hooded crane,Grys monacha,vigilance time/foraging time/FID,negative control,
