"","pop_cn","pop_sn","body_mass","body_mass_units","body_mass_maximum","in_text_reference"
"1","Impala","Aepyceros melampus",NA,NA,NA,NA
"2","Moose","Alces alces",NA,NA,NA,NA
"3","Pronghorn","Antilocapra americana",NA,NA,NA,NA
"4","Pronghorn Antelope","Antilocapra americana",NA,NA,NA,NA
"5","Western Sandpiper","Calidris mauri",NA,NA,NA,NA
"6","Roe Deer","Capreolus capreolus",NA,NA,NA,NA
"7","Elk","Cervus elaphus",NA,NA,NA,NA
"8","Red Deer","Cervus elaphus",NA,NA,NA,NA
"9","Semipalmated Plover","Charadrius semipalmatus",NA,NA,NA,NA
"10","American Crow","Corvus branchyrhynchos",NA,NA,NA,NA
"11","Spotted Hyena","Crocuta crocuta",62.37,"kg",NA,"Crile & Quiring, 1940"
"12","Prairie Dog","Cynomus ludovicianus",NA,NA,NA,NA
"13","Fallow Deer","Dama dama",NA,NA,NA,NA
"14","Pere David’s Deer","Elaphurus davidianus",NA,NA,NA,NA
"15","Eurasian Coot","Fulica atra",0.568,"kg",NA,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"
"16","Eurasian Coot","Fulica atra",0.754,"kg",NA,"Prinzinger & Hänssler, 1980"
"17","Hooded Crane","Grys monacha",NA,NA,NA,NA
"18","Sable Antelope","Hippotragus niger",NA,NA,NA,NA
"19","Capybaras","Hydrochoerus hydrochaeris",NA,NA,NA,NA
"20","Willow Grouse","Lagopus lagopus",0.542,"kg",NA,"Crile & Quiring, 1940"
"21","Willow Grouse","Lagopus lagopus",0.54,"kg",NA,"Crile & Quiring, 1940"
"22","Willow Ptarmigan","Lagopus lagopus",0.542,"kg",NA,"Crile & Quiring, 1940"
"23","Willow Ptarmigan","Lagopus lagopus",0.54,"kg",NA,"Crile & Quiring, 1940"
"24","Guanco","Lama guanicoe",NA,NA,NA,NA
"25","Yellowbellied Marmot","Marmota flaviventris",NA,NA,NA,NA
"26","Badger","Meles meles",NA,NA,NA,NA
"27","Mule Deer","Odocoileus hemionus",NA,"",NA,"Warnke, 1908"
"28","Thinhorn Sheep","Ovis dalli",NA,NA,NA,NA
"29","Mouse","Peromyscus leucopus",NA,NA,NA,NA
"30","Verreaux’s Sifaka","Propicthecus verreauxi",NA,NA,NA,NA
"31","Puma","Puma concolor",28.79,"kg",NA,"Crile & Quiring, 1940"
"32","Alpine chough","Pyrrhocorax graculus",0.15,"kg",NA,"Mlíkovský, 2003"
"33","Gaspesie Caribou","Rangifer tarandus caribou",NA,NA,NA,NA
"34","Svalbard Reindeer","Rangifer tarandus platyrhynchus",NA,NA,NA,NA
"35","Lesser Rhea","Rhea pennata pennata",NA,NA,NA,NA
"36","Whale Shark","Rhincodon typus",NA,NA,NA,NA
"37","Tatra Chamois","Rupicapra rupicapra tatrica",NA,NA,NA,NA
"38","Dusky Damselfish","Stegastes fuscus",NA,NA,NA,NA
"39","Wild Boar","Sus scofra",NA,NA,NA,NA
"40","Chipmunk","Tamias striatus",0.075,"kg",NA,"Crile & Quiring, 1940"
"41","Chipmunk","Tamias striatus",NA,"",NA,"Crile & Quiring, 1940"
"42","Chipmunk","Tamias striatus",0.0874,"kg",NA,"Wang & Hudson, 1971"
"43","Greater Kudu","Tragelaphus strepsiceros",NA,NA,NA,NA
"44","Blackbird","Turdus merula",0.0851,"kg",NA,"Bech, Chappell, Astheimer, Londoño, & Buttemer, 2016"
"45","Brown Bear","ursus arctos",NA,NA,NA,NA
"46","Ward's Damsel Fish","Chromis wardi",NA,NA,NA,NA
