"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"barriEffectsGroupSize2012",3.85333665054049,0.420847596789622,4.67819794024815,3.02847536083283,"Lesser Rhea","Rhea Pennata Pennata","","hunting","vigilance","herbivore","1",NA,NA,NA
"barriEffectsGroupSize2012",-2.57831915082476,0.336223882184224,-1.91932034174368,-3.23731795990584,"Lesser Rhea","Rhea Pennata Pennata","","hunting","foraging","herbivore","1",NA,NA,NA
"benevidesFearinducedBehaviouralModifications2019",7.41103963389598,1.05551422066826,5.34223176138619,9.47984750640577,"Dusky Damselfish","Stegastes Fuscus","scuba diver","active disturbance","foraging","herbivore","1",NA,NA,NA
"benevidesFearinducedBehaviouralModifications2019",4.92640626894742,0.752806005571715,3.45090649802686,6.40190603986798,"Dusky Damselfish","Stegastes Fuscus","snorkeler","active disturbance","foraging","herbivore","1",NA,NA,NA
"benhaiemHuntingIncreasesVigilance2008",5.36153592572128,0.46106707188125,6.26522738660853,4.45784446483403,"Roe Deer","Capreolus Capreolus","","hunting","vigilance","herbivore","1",NA,NA,NA
"chen-krausHumanLemurCoexistenceMultipleUse2022",NA,NA,NA,NA,"Verreaux’s Sifaka","Propicthecus Verreauxi","","passive disturbance","vigilance","herbivore","1",NA,NA,NA
"ciutiEffectsHumansBehaviour2012",-7.63351056285547,0.29755674046997,-7.05029935153433,-8.21672177417661,"Elk","Cervus Elaphus","","active disturbance","foraging","herbivore","1",NA,NA,NA
"cristinavallinoBehaviouralResponsesHuman2019",NA,NA,NA,NA,"Alpine Chough",NA,"","active disturbance","foraging",NA,NA,NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",44.9194202836373,5.16230558270089,55.037539225731,34.8013013415435,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",32.0387696177723,3.68867890810712,39.2685802776623,24.8089589578823,"Blackbird","Turdus Merula","Oeste","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",47.3761543394987,5.44361045050453,58.0456308224875,36.7066778565098,"Blackbird","Turdus Merula","Retiro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",-21.503488089145,2.4868072957742,-16.6293457894275,-26.3776303888624,"Blackbird","Turdus Merula","Moro","active disturbance","foraging","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",-20,2.31584928152435,-15.4609354082123,-24.5390645917877,"Blackbird","Turdus Merula","Oeste","active disturbance","foraging","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",-21.3368155872849,2.46784505241069,-16.4998392845599,-26.1737918900098,"Blackbird","Turdus Merula","Retiro","active disturbance","foraging","omnivore","1",NA,NA,NA
"gavinPronghornAntilocapraAmericana2006",-2.42535625036333,0.168958765390379,-2.09419707019819,-2.75651543052847,"Pronghorn Antelope","Antilocapra Americana","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"gavinPronghornAntilocapraAmericana2006",3.11126983722081,0.190770654512037,3.4851803200644,2.73735935437722,"Pronghorn Antelope","Antilocapra Americana","","passive disturbance","vigilance","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",-0.286770912979673,0.2386317888964,0.180947393257271,-0.754489219216618,"Chipmunk","Tamias Striatus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",0.958973213522629,0.283810674588035,1.51524213571518,0.40270429133008,"Mouse","Peromyscus Leucopus","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",0.723580829175316,0.245241077672216,1.20425334141286,0.242908316937773,"Chipmunk","Tamias Striatus","","passive disturbance","vigilance","herbivore","1",NA,NA,NA
"giordanoPreyResponsesPredation2022",0,NA,0,0,"Mouse","Peromyscus Leucopus","","passive disturbance","vigilance","herbivore","1",NA,NA,NA
"grignolioEffectsHuntingHounds2011",1.44668375042811,0.167332886902934,1.77465620875786,1.11871129209836,"Roe Deer","Capreolus Capreolus","","hunting","movement","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",17.8402639465264,0.926498337471731,19.656200687971,16.0243272050818,"Red Deer","Cervus Elephus","Treatment_1","hunting/active disturbance","vigilance","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",29.1643269368523,2.00489740329102,33.0939258473027,25.2347280264019,"Red Deer","Cervus Elephus","Treatment_2","hunting/active disturbance","vigilance","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",-3.29551316148197,0.222291141856371,-2.85982252344348,-3.73120379952046,"Red Deer","Cervus Elephus","Treatment_1","hunting/active disturbance","foraging","herbivore","1",NA,NA,NA
"jayakodyRedDeerCervus2008",-7.31189046419742,0.573901178698914,-6.18704415394755,-8.43673677444729,"Red Deer","Cervus Elephus","Treatment_2","hunting/active disturbance","foraging","herbivore","1",NA,NA,NA
"lesmerisesRefugePredationRisk2017",-1.18706267916162,0.388718054700357,-0.42517529194892,-1.94895006637432,"Gaspesie Caribou","Rangifer Tarandus Caribou","","passive disturbance","foraging","herbivore","1",NA,NA,NA
"lesmerisesRefugePredationRisk2017",-4.87843684560726,0.623933903525308,-3.65552639469765,-6.10134729651686,"Gaspesie Caribou","Rangifer Tarandus Caribou","","passive disturbance","vigilance","herbivore","1",NA,NA,NA
"liCollectiveVigilanceWintering2016",2.02934065287483,0.285969296858024,2.58984047471656,1.4688408310331,"Hooded Crane","Grys Monacha","","active disturbance","vigilance","insectivore","2",NA,NA,NA
"liVigilanceActivityTimeBudget2015",312.656919996091,11.2972552393293,334.799540265176,290.514299727006,"Hooded Crane","Grys Monacha","","active disturbance","foraging","insectivore","2",NA,NA,NA
"liVigilanceActivityTimeBudget2015",70.2574258186591,2.54073493027587,75.2372662819998,65.2775853553184,"Hooded Crane","Grys Monacha","","active disturbance","vigilance","insectivore","2",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",NA,NA,NA,NA,"Thinhorn Sheep","Ovis Dalli","jeuveniles","active disturbance","vigilance","herbivore","1",NA,NA,NA
