"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"barriEffectsGroupSize2012",12.0911978575721,1.08104793539341,14.2100128765045,9.97238283863961,"Lesser Rhea","Rhea Pennata Pennata","","hunting","vigilance","herbivore","1",NA,NA,NA
"barriEffectsGroupSize2012",-14.7304983054881,1.30573979667703,-12.1712953308205,-17.2897012801558,"Lesser Rhea","Rhea Pennata Pennata","","hunting","vigilance","herbivore","1",NA,NA,NA
"benevidesFearinducedBehaviouralModifications2019",8.26028912944351,1.12718215403133,10.4695255553612,6.05105270352583,"Dusky Damselfish","Stegastes Fuscus","scuba diver","active disturbance","foraging","herbivore","1",NA,NA,NA
"benevidesFearinducedBehaviouralModifications2019",5.45723597550864,0.793530344855463,7.012526872065,3.90194507895229,"Dusky Damselfish","Stegastes Fuscus","scuba diver","active disturbance","foraging","herbivore","1",NA,NA,NA
"benhaiemHuntingIncreasesVigilance2008",10.0862831293374,0.789609754609675,11.6338898102139,8.53867644846092,"Roe Deer","Capreolus Capreolus","","hunting","vigilance","herbivore","1",NA,NA,NA
"ciutiEffectsHumansBehaviour2012",-2.27012721988739,0.132254779075827,-2.01091261611547,-2.52934182365931,"Elk","Cervus Elaphus","","active disturbance","foraging","herbivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",8.44938992784694,0.996193945429311,10.4018941825053,6.49688567318863,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",6.6905836647064,0.812126143022407,8.28232165593374,5.09884567347905,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",9.72138175147415,1.13195220282205,11.9399673012261,7.50279620172217,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",-4.50341001402115,0.594566036643386,-3.33808199576939,-5.66873803227291,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",-4.10391340834062,0.557248881371218,-3.0117256704278,-5.19610114625344,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"fernandez-juricicEffectsHumanDisturbance2000",-4.45761118569549,0.590236154886728,-3.3007695797441,-5.61445279164688,"Blackbird","Turdus Merula","Moro","active disturbance","vigilance","omnivore","1",NA,NA,NA
"gavinPronghornAntilocapraAmericana2006",-12.2979538713352,0.571236201579392,-11.1783514895741,-13.4175562530962,"Pronghorn Antelope","Antilocapra Americana","","passive disturbance","foraging","herbivore","1",NA,NA,NA
