"","X","pop_cn","pop_sn","functional_group","trophic_level","phylum","class","order","family","genus","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body.mass","body.mass...units","body.mass...minimum","body.mass...maximum","body.mass...method","body.mass...comments","body.mass...metadata.comment","original.body.mass","original.body.mass...units","metabolic.rate","metabolic.rate...units","metabolic.rate...minimum","metabolic.rate...maximum","metabolic.rate...method","metabolic.rate...comments","metabolic.rate...metadata.comment","original.metabolic.rate","original.metabolic.rate...units","original.respiratoryQuotient","original.temperature","mass.specific.metabolic.rate","mass.specific.metabolic.rate...units","brain.size","brain.size...units","brain.size...minimum","brain.size...maximum","brain.size...method","brain.size...comments","brain.size...metadata.comment","original.brain.size","original.brain.size...units"
"1",19,"Impala","Aepyceros melampus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",21,"Moose","Alces alces","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",25,"Pronghorn","Antilocapra americana","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",26,"Pronghorn Antelope","Antilocapra americana","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",39,"Western Sandpiper","Calidris mauri","insectivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",29,"Roe Deer","Capreolus capreolus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,"Elk","Cervus elaphus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,"Red Deer","Cervus elaphus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,"Semipalmated Plover","Charadrius semipalmatus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2,"American Crow","Corvus branchyrhynchos","omnivore",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
