"key","title","authors","journal","issn","volume","issue","pages","year","month","day","publisher","location","url","language","notes","abstract"
338,"Coyotes living near cities are bolder: implications for dog evolution and human-wildlife conflict","Brooks, James; Kays, Roland; Hare, Brian","BEHAVIOUR","0005-7959","157","3-4",NA,2020,NA,NA,NA,NA,NA,"English",NA,"How animal populations adapt to human modified landscapes is central to understanding modern behavioural evolution and improving wildlife management. Coyotes (Canis latrans) have adapted to human activities and thrive in both rural and urban areas. Bolder coyotes showing reduced fear of humans and their artefacts may have an advantage in urban environments. We analysed the reactions of 636 coyotes to novel human artefacts (camera traps) at 575 sites across the state of North Carolina. Likelihood of a coyote approaching the camera increased with human housing density suggesting that urban coyotes are experiencing selection for boldness and becoming more attracted to human artefacts. This has implications for both human-wildlife conflict and theories of dog domestication. We also note physical traits in coyotes that could be the result of domesticationrelated selection pressures, or dog hybridization."
620,"Approaching the Genomics of Risk-Taking Behavior","Bell, Alison M.","SOCIO-GENETICS","0065-2660","68","",NA,2009,NA,NA,NA,NA,NA,"English",NA,"Individual animals differ in their propensity to engage in dangerous situations, or in their risk-taking behavior. There is a heritable basis to some of this variation, but the environment plays an important role in shaping individuals' risk-taking propensity as well. This chapter describes some of the challenges in studying the genetic basis of individual differences in risk-taking behavior, arguing new insights will emerge from studies which take a whole-genome approach and which simultaneously consider both genetic and environmental influences on the behavior. The availability of genomic tools for three-spined stickleback, a small fish renowned for its variable behavior, opens up new possibilities for studying the genetic basis of natural, adaptive variation in risk-taking behavior. After introducing the general biology of sticklebacks, the chapter summarizes the existing literature on the genetic and environmental influences on risk-taking behavior, and describes the overall strategy that our group is taking to identify inherited and environmentally responsive genes related to risk-taking behavior in this species. Insights gleaned from such studies will be relevant to our understanding of similar behaviors in other organisms, including ourselves. (C) 2009, Elsevier Inc."
257,"An automated predator avoidance task in zebrafish","Ahmed, Omar; Seguin, Diane; Gerlai, Robert","BEHAVIOURAL BRAIN RESEARCH","0166-4328","216","1",NA,2011,NA,NA,NA,NA,NA,"English",NA,"Zebrafish are becoming increasingly popular in behavioral neuroscience as investigators have started to realize the benefits of sophisticated genetic tools specifically developed for this species along with the pharmacological tools already available for other laboratory model organisms. The zebrafish has been proposed as an in vivo tool for the analysis of vertebrate fear responses as well as human psychopathological conditions such as anxiety. We have been developing behavioral tasks for zebrafish that could be utilized for screening mutation or drug induced changes in fear responses. In this paper we present a modified version of a previously developed predator avoidance paradigm that now allows the induction and quantification of avoidance reactions that we previously could not elicit. Most importantly, in the current paradigm zebrafish are now shown to respond to the appearance of a moving image of a sympatric predator, the Indian leaf fish, by increasing their distance from the image, a robust reaction that is easy to quantify in an automated manner. Unexpectedly, however, another fear response, the diving response, was seen robustly only at the beginning of the test but not in response to the predator stimulus. We discuss the implications of these results and conclude that although zebrafish fear responses are complex and context dependent, the current paradigm is a significant step towards high throughput screening for alterations in fear responses of zebrafish. (C) 2010 Elsevier B.V. All rights reserved."
801,"Behavioral responses of blue sheep (Pseudois nayaur) to nonlethal human recreational disturbance","Jiang TianYi; Wang XiaoMing; Ding YouZhong; Liu ZhenSheng; Wang ZhengHuan","CHINESE SCIENCE BULLETIN","1001-6538","58","18",NA,2013,NA,NA,NA,NA,NA,"English",NA,"Nonlethal human recreational activities have been confirmed to have negative effect on wild animals in a number of ways, including changes in behaviors, avoidance of suitable habitats and declines in breeding success. Studies on the anti-disturbance mechanism of wild animals to human disturbance can provide valuable knowledge to the management of wild animals and the evolutionary mechanisms of behavioral adaptation to their habitats. To evaluate how blue sheep (Pseudois nayaur) would react to nonlethal human recreational disturbance, we studied their anti-disturbance strategy towards human disturbance in Suyukou National Forest Park (SNFP), Helan Mountains, Yinchuan of Ningxia Hui Autonomous Region. Using multinomial logistic regression models (MLRMs), we sought to answer two questions: (1) which kind of human recreational behavior would evoke the most serious anti-disturbance behaviors in blue sheep; and (2) how would various ecological factors influence the anti-disturbance strategy of blue sheep to human recreational disturbance? We collected 10 habitat and population variables and evaluated three kinds of reaction of blue sheep-no response, vigilance and flight. A total of 921 observations qualified to enter MLRMs. We found that habitat type (HT), gender (GEN), head direction (HD), visibility index (VI), and disturbance source (DS) were the five variables that significantly influenced the intensity of reactions of blue sheep. Blue sheep were more alert to tourists than to vehicles, and roads were the habitat type that caused the most intensive reaction of alertness where human disturbance was the highest. Females were more vigilant than males. Blue sheep might feel safer when staying in open habitat, and taking a front head direction provided them with the highest vigilance. Based on these results, we present suggestions to SNFP for the management of ecotourism and blue sheep conservation."
703,"Effects of levels of human exposure on flight initiation distance and distance to refuge in foraging eastern gray squirrels (Sciurus carolinensis)","Engelhardt, S. C.; Weladji, R. B.","CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE","0008-4301","89","9",NA,2011,NA,NA,NA,NA,NA,"English",NA,"Flight initiation distance (FID), the distance at which an organism begins to flee from an approaching predator or threat, is associated to prey escape decision-making processes with benefit and cost trade-offs to remaining in a patch. Factors that may affect FID can be altered by human-stimulated predation risk, although the magnitude of response may depend on human exposure. We investigated how FID and distance to refuge of foraging eastern gray squirrels (Sciurus carolinensis Gmelin, 1788), vary in seven sites corresponding to three levels of human exposure. We predicted that both FID and distance to refuge increase as exposure to human stimuli decreases; FID increases with the starting distance of the approaching human; and Flu increases with distance to refuge. We found that FID increased with decreasing human exposure and that FID increased with increasing starting distance. We found no difference in distance to refuge between exposure levels. Our results suggest that risk posed to gray squirrels in areas frequently visited by humans is minimized or reduced, leading to differences in MD between exposure levels and may be attributed to habituation to increased nonlethal stimuli in the form of exposure to humans."
127,"Sex differences in risk perception in deep-diving bottlenose dolphins leads to decreased foraging efficiency when exposed to human disturbance","Symons, John; Pirotta, Enrico; Lusseau, David","JOURNAL OF APPLIED ECOLOGY","0021-8901","51","6",NA,2014,NA,NA,NA,NA,NA,"English",NA,"<list list-type=1 id=jpe12337-list-0001> Individuals make behavioural decisions by weighing potential advantages and costs (e.g. increased food intake vs. increased risk of predation). When animals change their activities in response to a perceived threat, their energetic input may decline. Marine ecotourism, including whale and dolphin watching, is growing globally and cetaceans perceive interactions with tour vessels as a form of risk. Observable behavioural changes need to be linked to bioenergetic effects to determine the potential population consequences of this disturbance. We developed a theoretical optimal dive model for bottlenose dolphins under three potential types of perceived risk resulting from human interactions at the surface (decreasing instantaneous risk, increasing instantaneous risk and no risk). We compared the predictions of these theoretical models to observed dive cycles of foraging male and female dolphins in the presence and absence of tour vessels. We used mixture models to classify dive types and mixed effects models to analyse changes in the interbreath interval of surface and bottom dives and the frequency of estimated bottom dives. Males significantly increased bottom time and performed fewer bottom dives when boats were present, matching predictions of our theoretical model for perceived decreasing instantaneous risk. In contrast, females significantly decreased bottom times and increased the frequency of bottom dives, matching predictions from the model for perceived increasing instantaneous risk. Therefore, our empirical results suggest differences in the perception of risk between sexes.Synthesis and applications. By comparing theoretical predictions with observed dive data, our study suggests that boat interactions during foraging can cause decreased net energy gain over a foraging bout for both sexes, with females being more impacted. The population under study is currently listed as critically endangered. Understanding whether these predicted energetic impacts affect an individual's vital rates will provide a link to the population-level consequences of this disturbance. Previous analytical approaches have failed to capture the costs associated with disturbance during foraging, leading to management recommendations that only protect animals from increased energetic expenditure. We suggest that the current management scheme should be revised to include foraging areas in order to secure the energy intake of animals. By comparing theoretical predictions with observed dive data, our study suggests that boat interactions during foraging can cause decreased net energy gain over a foraging bout for both sexes, with females being more impacted. The population under study is currently listed as critically endangered. Understanding whether these predicted energetic impacts affect an individual's vital rates will provide a link to the population-level consequences of this disturbance. Previous analytical approaches have failed to capture the costs associated with disturbance during foraging, leading to management recommendations that only protect animals from increased energetic expenditure. We suggest that the current management scheme should be revised to include foraging areas in order to secure the energy intake of animals."
961,"Effects of human-induced disturbances and weather on herbivore movement","Leclerc, Martin; Tarroux, Arnaud; Fauchald, Per; Stien, Audun; Tveraa, Torkild; St-Laurent, Martin-Hugues","JOURNAL OF MAMMALOGY","0022-2372","100","5",NA,2019,NA,NA,NA,NA,NA,"English",NA,"Human-caused habitat disturbances and climate change are leading threats to biodiversity. Studying the impacts of human activities on wildlife from a behavioral perspective is a relevant starting point to understand the mechanisms underlying population and species resistance and resilience to disturbances. In this study, we assessed the effects of weather (temperature and precipitation), habitat disturbances (roads and clearcuts), and natural habitat types on the space use patterns of a threatened boreal population of woodland caribou (Rangifer tarandus caribou). An extensive data set of 288,665 relocations from 50 adult females outfitted with GPS collars over 7 years in the boreal forest of Quebec, Canada was used to evaluate residency time in natural and disturbed habitats for five distinct biologically defined periods. The most parsimonious linear mixed-effects model for each period showed that individuals stayed longer in more natural habitat types. During calving and summer, residency time decreased with increasing road density, whereas residency time decreased with increasing temperature during winter and spring. We found no evidence of a synergistic effect between daily weather and human disturbances on movement behavior of caribou, but consider their respective influence as additive. We also showed large individual variation in residency time, except during the calving period. Lower individual variation in residency time during calving may be explained by strong evolutionary constraints on behavior faced by females to ensure protection and survival of their offspring. Based on our results, we suggest keeping large patches of suitable and roadless habitat for caribou to favor the spacing-out antipredator strategy exhibited by females during calving. By tracking individuals over several complete annual cycles, we showed variation in the effects of daily weather and human disturbances on residency time across biological periods. Our study highlights that the inclusion of daily weather variables helps better understand space-use patterns of a threatened species."
848,"Innate Predator Odor Aversion Driven by Parallel Olfactory Subsystems that Converge in the Ventromedial Hypothalamus","Perez-Gomez, Anabel; Bleymehl, Katherin; Stein, Benjamin; Pyrski, Martina; Birnbaumer, Lutz; Munger, Steven D.; Leinders-Zufall, Trese; Zufall, Frank; Chamero, Pablo","CURRENT BIOLOGY","0960-9822","25","10",NA,2015,NA,NA,NA,NA,NA,"English",NA,"The existence of innate predator aversion evoked by predator-derived chemostimuli called kairomones offers a strong selective advantage for potential prey animals. However, it is unclear how chemically diverse kairomones can elicit similar avoidance behaviors. Using a combination of behavioral analyses and single-cell Ca2+ imaging in wild-type and gene-targeted mice, we show that innate predator-evoked avoidance is driven by parallel, non-redundant processing of volatile and nonvolatile kairomones through the activation of multiple olfactory subsystems including the Grueneberg ganglion, the vomeronasal organ, and chemosensory neurons within the main olfactory epithelium. Perturbation of chemosensory responses in specific subsystems through disruption of genes encoding key sensory transduction proteins (Cnga3, Gnao1) or by surgical axotomy abolished avoidance behaviors and/or cellular Ca2+ responses to different predator odors. Stimulation of these different subsystems resulted in the activation of widely distributed target regions in the olfactory bulb, as assessed by c-Fos expression. However, in each case, this c-Fos increase was observed within thesame subnuclei of the medial amygdala and ventromedial hypothalamus, regions implicated in fear, anxiety, and defensive behaviors. Thus, the mammalian olfactory system has evolved multiple, parallel mechanisms for kairomone detection that converge in the brain to facilitate a common behavioral response. Our findings provide significant insights into the genetic substrates and circuit logic of predator-driven innate aversion and may serve as a valuable model for studying instinctive fear [1] and human emotional and panic disorders [2, 3]."
237,"Maternal Brain TNF-alpha Programs Innate Fear in the Offspring","Zupan, Bojana; Liu, Bingfang; Taki, Faten; Toth, Judit Gal; Toth, Miklos","CURRENT BIOLOGY","0960-9822","27","24",NA,2017,NA,NA,NA,NA,NA,"English",NA,"Tumor necrosis factor alpha (TNF-alpha) is a cytokine that not only coordinates local and systemic immune responses [1, 2] but also regulates neuronal functions. Most prominently, glia-derived TNF-alpha has been shown to regulate homeostatic synaptic scaling [3-6], but TNF-alpha-null mice exhibited no apparent cognitive or emotional abnormalities. Instead, we found a TNF-alpha-dependent intergenerational effect, as mothers with a deficit in TNF-alpha programmed their offspring to exhibit low innate fear. Cross-fostering and conditional knockout experiments indicated that a TNF-alpha deficit in the maternal brain, rather than in the hematopoietic system, and during gestation was responsible for the low-fear offspring phenotype. The level of innate fear governs the balance between exploration/foraging and avoidance of predators and is thus fundamentally important in adaptation, fitness, and survival [7]. Because maternal exercise and activity are known to reduce both brain TNF-alpha [8] and offspring innate fear [9], whereas maternal stress has been reported to increase brain TNF-alpha [10] and offspring fear and anxiety [11, 12], maternal brain TNF-alpha may report environmental conditions to promote offspring behavioral adaptation to their anticipated postnatal environment."
827,"Hunting suitability model: a new tool for managing wild ungulates","Griesberger, Paul; Obermair, Leopold; Zandl, Josef; Stalder, Gabrielle; Arnold, Walter; Hacklaender, Klaus","WILDLIFE BIOLOGY","0909-6396",NA,"",NA,NA,NA,NA,NA,NA,NA,"English",NA,"Rising numbers of wild ungulates in human-dominated landscapes of Europe can induce negative effects like damages to forests. Therefore, effective wildlife management, including harvesting through hunting is becoming increasingly important. However, current hunting practices often fail to diminish those negative effects, as many ungulate species retreat to areas unsuitable for hunting. This predator-avoidance behaviour makes it difficult to fulfill the demand of reducing population numbers. Thus, there is an urgent need for innovative and effective wildlife management tools to counteract this problem. Here we provide for the first time a hunting suitability model for wild ungulate management in mountainous landscapes to visualise hunting suitability objectively and realistically. Using red deer as a model species, we modelled hunting suitability with high spatial resolution (10 x 10 m), based on remote sensing information, field surveys and expert knowledge of professional hunters. We analysed spatio-temporal habitat selection by radio-collared deer in relation to locations of varying hunting suitability. The suitability of various locations regarding hunting influenced the spatio-temporal habitat selection by this species, consistent with our hypothesis. Red deer avoided areas suitable for hunting during daylight hours in the hunting season, but not during the night. This species seems to perceive a landscape of heterogeneous anthropogenic predation risk, shaped by locations of various hunting suitability, as we modelled it. This confirms the empirical realism of the model. Concerning wild ungulate management, our hunting suitability model provides high-resolution predictions of where species like red deer will retreat when perceived anthropogenic predation risk increases. The model also yields useful insights regarding the hunting suitability of particular locations, which is valuable information especially for non-locals. Furthermore, the model can serve as planning tool to inform decisions about where particular hunting strategies can be performed most efficiently to manage wild ungulates and therefore minimize human-wildlife conflicts."
401,"Wolves and Tree Logs: Landscape-Scale and Fine-Scale Risk Factors Interactively Influence Tree Regeneration","van Ginkel, Hermine Annette Lisa; Kuijper, Dries Pieter Jan; Schotanus, Jildou; Smit, Christian","ECOSYSTEMS","1432-9840","22","1",NA,2019,NA,NA,NA,NA,NA,"English",NA,"Large carnivores can reduce ungulate numbers by predation and via induced risk effects alter ungulate behavior, indirectly affecting lower trophic levels. However, predator-induced risk effects probably act at different spatial scales, which have often been ignored in trophic cascade studies. We studied how a fine-scale risk factor (distance from tree logs) affects ungulate browsing intensity and how this is modified over a landscape-scale risk gradient (distance from human settlements to wolf core) in the Biaowiea forest, Poland. We found that landscape-and fine-scale risk factors strongly interacted in determining the strength and magnitude of carnivore-induced risk effects on lower trophic levels. In low-risk areas, tree logs reduced browsing intensity in small patches (approx. 4-6m from logs), whereas in high-risk areas browsing intensity was reduced up to at least 16m from tree logs. Moreover, the magnitude of these effects changed, with the strongest reduction in browsing intensity around tree logs in high-risk areas (up to 37%) and the smallest in low-risk areas (<20%). Overall, the results of this study indicate that perceived risk factors act at different spatial scales, where impediments (objects blocking view and escape routes) act as a risk factor at a fine scale and carnivore distribution shapes perceived risk at the landscape scale. Moreover, these risk factors strongly interact, thereby determining the functional role of large carnivores in affecting ecosystem processes. These interactive effects should be incorporated in predator-induced trophic cascade studies to understand patterns of tree regeneration in ecosystems where large carnivores and herbivores live together."
