"","Authors","Article.Title","Source.Title","Language","Document.Type","Keywords.Plus","Abstract","Publication.Year","DOI","Date.of.Export"
"1","Clinchy, M; Zanette, LY; Roberts, D; Suraci, JP; Buesching, CD; Newman, C; Macdonald, DW","Fear of the human super predator far exceeds the fear of large carnivores in a model mesocarnivore","BEHAVIORAL ECOLOGY","English","Article","BADGERS MELES-MELES; PLAYBACK EXPERIMENTS; ACTIVITY PATTERNS; RISK; RESPONSES; PREY; CONSEQUENCES; LANDSCAPES; LESSONS; ECOLOGY","The fear (perceived predation risk) large carnivores inspire in mesocarnivores can affect ecosystem structure and function, and loss of the landscape of fear large carnivores create adds to concerns regarding the worldwide loss of large carnivores. Fear of humans has been proposed to act as a substitute, but new research identifies humans as a super predator globally far more lethal to mesocarnivores, and thus presumably far more frightening. Although much of the world now consists of human-dominated landscapes, there remains relatively little research regarding how behavioral responses to humans affect trophic networks, to the extent that no study has yet experimentally tested the relative fearfulness mesocarnivores demonstrate in reaction to humans versus nonhuman predators. Badgers (Meles meles) in Britain are a model mesocarnivore insofar as they no longer need fear native large carnivores (bears, Ursus arctos; wolves, Canis lupus) and now perhaps fear humans more. We tested the fearfulness badgers demonstrated to audio playbacks of extant (dog) and extinct (bear and wolf) large carnivores, and humans, by assaying the suppression of foraging behavior. Hearing humans affected latency to feed, vigilance, foraging time, number of feeding visits, and number of badgers feeding. Hearing dogs and bears had far lesser effects on latency to feed, and hearing wolves had no effects. Our results indicate fear of humans evidently cannot substitute for the fear large carnivores inspire in mesocarnivores because humans are perceived as far more frightening, which we discuss in light of the recovery of large carnivores in human-dominated landscapes.",2016,"10.1093/beheco/arw117","2022-03-23"
"2","Lonsdorf, TB; Menz, MM; Andreatta, M; Fullana, MA; Golkar, A; Haaker, J; Heitland, I; Hermann, A; Kuhn, M; Kruse, O; Drexler, SM; Meulders, A; Nees, F; Pittig, A; Richter, J; Romer, S; Shiban, Y; Schmitz, A; Straube, B; Vervliet, B; Wendt, J; Baas, JMP; Merz, CJ","Don't fear 'fear conditioning': Methodological considerations for the design and analysis of studies on human fear acquisition, extinction, and return of fear","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","English","Review","SOCIAL ANXIETY DISORDER; PAIN-RELATED FEAR; POSTTRAUMATIC-STRESS-DISORDER; COGNITIVE-BEHAVIORAL THERAPY; MULTIPLE-CONTEXT EXTINCTION; D-CYCLOSERINE ENHANCEMENT; VIRTUAL-REALITY CONTEXTS; MEDIAL PREFRONTAL CORTEX; SKIN-CONDUCTANCE; INDIVIDUAL-DIFFERENCES","The so-called 'replicability crisis' has sparked methodological discussions in many areas of science in general, and in psychology in particular. This has led to recent endeavours to promote the transparency, rigour, and ultimately, replicability of research. Originating from this zeitgeist, the challenge to discuss critical issues on terminology, design, methods, and analysis considerations in fear conditioning research is taken up by this work, which involved representatives from fourteen of the major human fear conditioning laboratories in Europe. This compendium is intended to provide a basis for the development of a common procedural and terminology framework for the field of human fear conditioning. Whenever possible, we give general recommendations. When this is not feasible, we provide evidence-based guidance for methodological decisions on study design, outcome measures, and analyses. Importantly, this work is also intended to raise awareness and initiate discussions on crucial questions with respect to data collection, processing, statistical analyses, the impact of subtle procedural changes, and data reporting specifically tailored to the research on fear conditioning. (C) 2017 The Authors. Published by Elsevier Ltd.",2017,"10.1016/j.neubiorev.2017.02.026","2022-03-23"
"3","Crawford, DA; Conner, LM; Clinchy, M; Zanette, LY; Cherry, MJ","Prey tells, large herbivores fear the human 'super predator'","OECOLOGIA","English","Article","WHITE-TAILED DEER; HUMAN DISTURBANCE; RESPONSES; CARNIVORES; DYNAMICS; ECOLOGY; RISK","Fear of the human 'super predator' has been demonstrated to so alter the feeding behavior of large carnivores as to cause trophic cascades. It has yet to be experimentally tested if fear of humans has comparably large effects on the feeding behavior of large herbivores. We conducted a predator playback experiment exposing white-tailed deer to the vocalizations of humans, extant or locally extirpated non-human predators (coyotes, cougars, dogs, wolves), or non-predator controls (birds), at supplemental food patches to measure the relative impacts on deer feeding behavior. Deer were more than twice as likely to flee upon hearing humans than other predators, and hearing humans was matched only by hearing wolves in reducing overall feeding time gaged by visits to the food patch in the following hour. Combined with previous, site-specific research linking deer fecundity to predator abundance, this study reveals that fear of humans has the potential to induce a larger effect on ungulate reproduction than has ever been reported. By demonstrating that deer most fear the human 'super predator', our results point to the fear humans induce in large ungulates having population- and community-level impacts comparable to those caused by the fear humans induce in large carnivores.",2022,"10.1007/s00442-021-05080-w","2022-03-23"
"4","Norrholm, SD; Anderson, KM; Olin, IW; Jovanovic, T; Kwon, C; Warren, VT; McCarthy, A; Bosshardt, L; Sabree, J; Duncan, EJ; Rothbaum, BO; Bradley, B","Versatility of fear-potentiated startle paradigms for assessing human conditioned fear extinction and return of fear","FRONTIERS IN BEHAVIORAL NEUROSCIENCE","English","Article","POSTTRAUMATIC-STRESS-DISORDER; INHIBITION; REINSTATEMENT; INJURIES; CIRCUITS; AMYGDALA; WAR","Fear conditioning methodologies have often been employed as testable models for assessing learned fear responses in individuals with anxiety disorders such as post-traumatic stress disorder (PTSD) and specific phobia. One frequently used paradigm is measurement of the acoustic startle reflex under conditions that mimic anxiogenic and fear-related conditions. For example, fear-potentiated startle is the relative increase in the frequency or magnitude of the acoustic startle reflex in the presence of a previously neutral cue (e.g., colored shape; termed the conditioned stimulus or CS+) that has been repeatedly paired with an aversive unconditioned stimulus (e.g., airblast to the larynx). Our group has recently used fear-potentiated startle paradigms to demonstrate impaired fear extinction in civilian and combat populations with PTSD. In the current study, we examined the use of either auditory or visual CSs in a fear extinction protocol that we have validated and applied to human clinical conditions. This represents an important translational bridge in that numerous animal studies of fear extinction, upon which much of the human work is based, have employed the use of auditory CSs as opposed to visual CSs. Participants in both the auditory and visual groups displayed robust fear-potentiated startle to the CS+, clear discrimination between the reinforced CS+ and non-reinforced CS-, significant extinction to the previously reinforced CS+, and marked spontaneous recovery. We discuss the current results as they relate to future investigations of PTSD-related impairments in fear processing in populations with diverse medical and psychiatric histories.",2011,"10.3389/fnbeh.2011.00077","2022-03-23"
"5","Reilly, CM; Suraci, JP; Smith, JA; Wang, YW; Wilmers, CC","Mesopredators retain their fear of humans across a development gradient","BEHAVIORAL ECOLOGY","English","Article; Early Access","CAUSE-SPECIFIC MORTALITY; HUMAN-INDUCED LANDSCAPE; HUMAN DISTURBANCE; LARGE CARNIVORE; FORAGING BEHAVIOR; HABITUATION; RISK; PREDATORS; SELECTION; ECOLOGY","Anthropogenic impacts on wildlife behavior arise both from the immediate presence of people, which induces fear responses in many species, and the human footprint on the landscape (i.e., infrastructure development), which affects animal movement and habitat use. Where both disturbance types co-occur, disentangling their impacts remains a challenge. Disturbance effects may interact such that species respond to increased human footprint by either reducing (habituation) or increasing (sensitization) avoidance of human presence. We experimentally manipulated perceived human presence, using playbacks of people talking, across a gradient of human footprint in California's Santa Cruz Mountains and used camera traps to quantify the behavioral responses of bobcats (Lynx rufus), striped skunks (Mephitis mephitis), and Virginia opossums (Didelphis virginiana), mesopredators known to exhibit strong fear response to human presence, but which vary in their use of developed areas. Bobcats and skunks reduced activity in response to human playbacks but showed no change in responsiveness to playbacks across the gradient of human footprint, suggesting that these species are similarly fearful of humans at all infrastructure development levels tested. Opossums exhibited a significant interaction between human footprint and playback treatment such that reductions in activity level in response to human playbacks were strongest at higher levels of building density. Our results indicate that, rather than habituating to human presence some mesopredators retain a strong fear of humans or become more fearful when inhabiting more developed areas. We suggest that consistently high responsiveness to immediate human presence may benefit mesopredators living in human-dominated landscapes by mitigating the risk of anthropogenic mortality. Mesopredators remain fearful of humans, whether they are in remote, protected areas, or in the backyards of densely populated suburbs. Using an experimental approach, we show that bobcats and striped skunks exhibit a consistent fear response to people, regardless of level of human footprint. Meanwhile, Virginia opossums exhibit heightened fear in areas of high human disturbance. Maintaining a strong fear response to humans may help mesopredators coexist in human-dominated landscapes.",NA,"10.1093/beheco/arab150","2022-03-23"
"6","Kirsch, P; Esslinger, C; Chen, Q; Mier, D; Lis, S; Siddhanti, S; Gruppe, H; Mattay, VS; Gallhofer, B; Meyer-Lindenberg, A","Oxytocin modulates neural circuitry for social cognition and fear in humans","JOURNAL OF NEUROSCIENCE","English","Article","HUMAN BRAIN; AMYGDALA; VASOPRESSIN; FACES; RECOGNITION; BEHAVIOR; STRESS; MECHANISM; RESPONSES; DISORDER","In non-human mammals, the neuropeptide oxytocin is a key mediator of complex emotional and social behaviors, including attachment, social recognition, and aggression. Oxytocin reduces anxiety and impacts on fear conditioning and extinction. Recently, oxytocin administration in humans was shown to increase trust, suggesting involvement of the amygdala, a central component of the neurocircuitry of fear and social cognition that has been linked to trust and highly expresses oxytocin receptors in many mammals. However, no human data on the effects of this peptide on brain function were available. Here, we show that human amygdala function is strongly modulated by oxytocin. We used functional magnetic resonance imaging to image amygdala activation by fear-inducing visual stimuli in 15 healthy males after double-blind crossover intranasal application of placebo or oxytocin. Compared with placebo, oxytocin potently reduced activation of the amygdala and reduced coupling of the amygdala to brainstem regions implicated in autonomic and behavioral manifestations of fear. Our results indicate a neural mechanism for the effects of oxytocin in social cognition in the human brain and provide a methodology and rationale for exploring therapeutic strategies in disorders in which abnormal amygdala function has been implicated, such as social phobia or autism.",2005,"10.1523/JNEUROSCI.3984-05.2005","2022-03-23"
"7","Norrholm, SD; Vervliet, B; Jovanovic, T; Boshoven, W; Myers, KM; Davis, M; Rothbaum, B; Duncan, EJ","Timing of Extinction Relative to Acquisition: A Parametric Analysis of Fear Extinction in Humans","BEHAVIORAL NEUROSCIENCE","English","Article","POTENTIATED STARTLE; CONDITIONED FEAR; REINSTATEMENT; CONTEXT; MEMORY; DEPOTENTIATION; CALCINEURIN; INHIBITION; REACTIVITY; RESPONSES","Fear extinction is a reduction in conditioned fear following repeated exposure to the feared cue in the absence of any aversive event. Extinguished fear often reappears after extinction through spontaneous recovery. Animal studies suggest that spontaneous recovery can be abolished if extinction occurs within minutes of acquisition. However, a limited number of human extinction studies have shown that short interval extinction does not prevent the return of fear. For this reason. we performed an in-depth parametric analysis of human fear extinction using fear-potentiated startle. Using separate single-cue and differential conditioning paradigms, participants were fear conditioned and then underwent extinction either 10 min (Immediate) or 72 hr (Delayed) later. Testing for spontaneous recovery occurred 96 hr after acquisition. In the single cue paradigm, the Immediate and Delayed groups exhibited differences in context, but not fear, conditioning. With differential conditioning, there were no differences in context conditioning and the Immediate group displayed less spontaneous recovery. Thus, the results remain inconclusive regarding spontaneous recovery and the timing of extinction and are discussed in terms of performing translational studies of fear in humans.",2008,"10.1037/a0012604","2022-03-23"
"8","Taylor, JE; Lau, H; Seymour, B; Nakae, A; Sumioka, H; Kawato, M; Koizumi, A","An Evolutionarily Threat-Relevant Odor Strengthens Human Fear Memory","FRONTIERS IN NEUROSCIENCE","English","Article","COGNITIVE PERFORMANCE; POTENTIATED STARTLE; SEX-DIFFERENCES; PREDATOR ODORS; CAT ODOR; RESPONSES; CORTISOL; AMYGDALA; CONTEXT; FAILURE","Olfaction is an evolutionary ancient sense, but it remains unclear to what extent it can influence routine human behavior. We examined whether a threat-relevant predator odor (2-methyl-2-thiazoline) would contextually enhance the formation of human fear memory associations. Participants who learned to associate visual stimuli with electric shock in this predator odor context later showed stronger fear responses to the visual stimuli than participants who learned in an aversiveness-matched control odor context. This effect generalized to testing in another odor context, even after extinction training. Results of a separate experiment indicate that a possible biological mechanism for this effect may be increased cortisol levels in a predator odor context. These results suggest that innate olfactory processes can play an important role in human fear learning. Modulatory influences of odor contexts may partly explain the sometimes maladaptive persistence of human fear memory, e.g., in post-traumatic stress disorders.",2020,"10.3389/fnins.2020.00255","2022-03-23"
"9","Rabinak, CA; Angstadt, M; Sripada, CS; Abelson, JL; Liberzon, I; Milad, MR; Phan, KL","Cannabinoid facilitation of fear extinction memory recall in humans","NEUROPHARMACOLOGY","English","Article","POSTTRAUMATIC-STRESS-DISORDER; RANDOMIZED CONTROLLED-TRIAL; MEDIAL PREFRONTAL CORTEX; D-CYCLOSERINE; ENDOCANNABINOID SYSTEM; CONDITIONED FEAR; CB1 RECEPTORS; EXPOSURE THERAPY; SPATIAL MEMORY; PROLONGED EXPOSURE","A first-line approach to treat anxiety disorders is exposure-based therapy, which relies on extinction processes such as repeatedly exposing the patient to stimuli (conditioned stimuli; CS) associated with the traumatic, fear-related memory. However, a significant number of patients fail to maintain their gains, partly attributed to the fact that this inhibitory learning and its maintenance is temporary and conditioned fear responses can return. Animal studies have shown that activation of the cannabinoid system during extinction learning enhances fear extinction and its retention. Specifically, CB1 receptor agonists, such as Delta 9-tetrahydrocannibinol (THC), can facilitate extinction recall by preventing recovery of extinguished fear in rats. However, this phenomenon has not been investigated in humans. We conducted a study using a randomized, double-blind, placebo-controlled, between-subjects design, coupling a standard Pavlovian fear extinction paradigm and simultaneous skin conductance response (SCR) recording with an acute pharmacological challenge with oral dronabinol (synthetic THC) or placebo (PBO) 2 h prior to extinction learning in 29 healthy adult volunteers (THC = 14; PBO = 15) and tested extinction retention 24 h after extinction learning. Compared to subjects that received PBO, subjects that received THC showed low SCR to a previously extinguished CS when extinction memory recall was tested 24 h after extinction learning, suggesting that THC prevented the recovery of fear. These results provide the first evidence that pharmacological enhancement of extinction learning is feasible in humans using cannabinoid system modulators, which may thus warrant further development and clinical testing. This article is part of a Special Issue entitled 'Cognitive Enhancers'. (C) 2012 Elsevier Ltd. All rights reserved.",2013,"10.1016/j.neuropharm.2012.06.063","2022-03-23"
"10","Vervliet, B; Baeyens, F; Van den Bergh, O; Hermans, D","Extinction, generalization, and return of fear: A critical review of renewal research in humans","BIOLOGICAL PSYCHOLOGY","English","Article","VENTROMEDIAL PREFRONTAL CORTEX; CONDITIONED FEAR; CONTEXTUAL CONTROL; POTENTIATED STARTLE; MULTIPLE CONTEXTS; MEMORY; PARADIGM; CUE; SPECIFICITY; ACQUISITION","The main behavioral signature of fear extinction is its fragility. This is exemplified by the renewal effect, where a change in the background context produces recovery of fear to a conditioned-and-extinguished stimulus. Renewal is the backbone of a widely accepted theory of extinction in animal research, as well as an important experimental model to screen novel treatment techniques. This has led to an explosion of fear renewal research in humans. However, the mere observation of return of fear in a renewal procedure is not sufficient to validate this particular theory of extinction in the tested sample/procedure. Here, we systematically outline a set of experimental tests that aid in evaluating alternative extinction/renewal mechanisms. We examine published renewal studies in human fear conditioning and conclude that the prevailing theory of extinction is often taken for granted, but critical tests are lacking. Including these tests in future research will not only reveal the fear extinction mechanism in humans, but also inspire further developments in extinction treatment research. (C) 2012 Elsevier B.V. All rights reserved.",2013,"10.1016/j.biopsycho.2012.01.006","2022-03-23"
