key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-811287019,An Integrated Landscape of Fear and Disgust: The Evolution of Avoidance Behaviors Amidst a Myriad of Natural Enemies,2020,,,FRONTIERS IN ECOLOGY AND EVOLUTION,2296-701X     J9  - FRONT ECOL EVOL     JI  - Front. Ecol. Evol.,8,,,"Doherty, JF and Ruehle, B",,English,,"Univ Otago, Dept Zool, Dunedin, New Zealand     FU  - University of Otago; Natural Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada (NSERC) [PGSD3-530445-2019]     FX  - This work was supported by the University of Otago Doctoral Scholarships to the authors and a Natural Sciences and Engineering Research Council of Canada (NSERC) scholarship (PGSD3-530445-2019) to J-FD.     PU  - FRONTIERS MEDIA SA     PI  - LAUSANNE     PA  - AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","Fear of natural enemies in non-human animals is a concept dating back to the time of Darwin. Now recognized as a non-consumptive effect, the ecological and evolutionary impact of fear has been studied in a number of predator-prey systems within the last few decades. However, comparatively little consideration has been given to the non-consumptive effects that parasites have on their hosts, which have evolved behaviors to avoid parasites, impacting habitat selection, mate choice, and foraging activity. These avoidance behaviors create a ""landscape of disgust,"" wherein hosts navigate to avoid parasites, akin to the ""landscape of fear"" in prey. Evolutionarily speaking, however, predators and parasites are but two examples of natural enemies. Pathogens, parasites, predators, and parasitoids, among others, each exert their own fitness cost on the victims they attack. Since animals likely evolve in the presence of multiple natural enemies, they must adopt a range of avoidance behaviors to navigate through the resulting ""landscape of peril."" Therefore, in line with recent efforts to combine the landscapes of fear and disgust, we offer a theoretical framework to better understand the impacts of natural enemies on the evolution of trait-mediated avoidance behaviors in animals. More precisely, we look at how victims may evolve to allocate energy optimally among distinct avoidance behaviors under the selective pressures imposed by different types of natural enemy. This framework is then put into the more realistic context of a food web, which highlights the impact of trophic interactions and trophic level on the evolution of avoidance behaviors.","Times Cited in Web of Science Core Collection:  6     Total Times Cited:  6     Cited Reference Count:  47 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong intervention",,
rayyan-811287026,"Fear of the human ""super predator"" far exceeds the fear of large carnivores in a model mesocarnivore",2016,,,BEHAVIORAL ECOLOGY,"[""1045-2249"", ""1465-7279     J9  - BEHAV ECOL     JI  - Behav. Ecol.""]",27,6,1826-1832,"Clinchy, M and Zanette, LY and Roberts, D and Suraci, JP and Buesching, CD and Newman, C and Macdonald, DW",,English,,"[""Western Univ, Dept Biol, London, ON N6A 5B7, Canada"", ""Raincoast Conservat Fdn, Sidney, BC V8L 3Y3, Canada"", ""Univ Oxford, Wildlife Conservat Res Unit, Recanati Kaplan Ctr, Tubney House, Tubney OX13 5QL, England     FU  - Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR; UK People's Trust for Endangered Species Grant     FX  - This work was supported by Natural Sciences and Engineering Research Council of Canada Discovery Grants to M.C. and L.Y.Z. and a UK People's Trust for Endangered Species Grant to D.W.M.     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA""]","The fear (perceived predation risk) large carnivores inspire in mesocarnivores can affect ecosystem structure and function, and loss of the ""landscape of fear"" large carnivores create adds to concerns regarding the worldwide loss of large carnivores. Fear of humans has been proposed to act as a substitute, but new research identifies humans as a ""super predator"" globally far more lethal to mesocarnivores, and thus presumably far more frightening. Although much of the world now consists of human-dominated landscapes, there remains relatively little research regarding how behavioral responses to humans affect trophic networks, to the extent that no study has yet experimentally tested the relative fearfulness mesocarnivores demonstrate in reaction to humans versus nonhuman predators. Badgers (Meles meles) in Britain are a model mesocarnivore insofar as they no longer need fear native large carnivores (bears, Ursus arctos; wolves, Canis lupus) and now perhaps fear humans more. We tested the fearfulness badgers demonstrated to audio playbacks of extant (dog) and extinct (bear and wolf) large carnivores, and humans, by assaying the suppression of foraging behavior. Hearing humans affected latency to feed, vigilance, foraging time, number of feeding visits, and number of badgers feeding. Hearing dogs and bears had far lesser effects on latency to feed, and hearing wolves had no effects. Our results indicate fear of humans evidently cannot substitute for the fear large carnivores inspire in mesocarnivores because humans are perceived as far more frightening, which we discuss in light of the recovery of large carnivores in human-dominated landscapes.","Times Cited in Web of Science Core Collection:  73     Total Times Cited:  74     Cited Reference Count:  56 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""} | RAYYAN-LABELS: data | USER-NOTES: {""Shawn ""=>[""exposure: human calls and signs; control: natural predator; outcome: foraging behavior""]}",,
rayyan-811287033,"Prey tells, large herbivores fear the human 'super predator'",2022,,,OECOLOGIA,"[""0029-8549"", ""1432-1939     J9  - OECOLOGIA     JI  - Oecologia""]",198,1,91-98,"Crawford, DA and Conner, LM and Clinchy, M and Zanette, LY and Cherry, MJ",,English,,"[""Texas A&M Univ Kingsville, Caesar Kleberg Wildlife Res Inst, Dept Rangeland & Wildlife Sci, 700 Univ Blvd,MSC 218, Kingsville, TX 78363 USA"", ""Jones Ctr Ichauway, 3988 Jones Ctr Dr, Newton, GA 39870 USA"", ""Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - Jones Center at Ichauway [JCI2020-06]; Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR     FX  - This work was funded by the Jones Center at Ichauway [Grant no. JCI2020-06] and Natural Sciences and Engineering Research Council of Canada grants awarded to Liana Y. Zanette.     PU  - SPRINGER     PI  - NEW YORK     PA  - ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES""]","Fear of the human 'super predator' has been demonstrated to so alter the feeding behavior of large carnivores as to cause trophic cascades. It has yet to be experimentally tested if fear of humans has comparably large effects on the feeding behavior of large herbivores. We conducted a predator playback experiment exposing white-tailed deer to the vocalizations of humans, extant or locally extirpated non-human predators (coyotes, cougars, dogs, wolves), or non-predator controls (birds), at supplemental food patches to measure the relative impacts on deer feeding behavior. Deer were more than twice as likely to flee upon hearing humans than other predators, and hearing humans was matched only by hearing wolves in reducing overall feeding time gaged by visits to the food patch in the following hour. Combined with previous, site-specific research linking deer fecundity to predator abundance, this study reveals that fear of humans has the potential to induce a larger effect on ungulate reproduction than has ever been reported. By demonstrating that deer most fear the human 'super predator', our results point to the fear humans induce in large ungulates having population- and community-level impacts comparable to those caused by the fear humans induce in large carnivores.","Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  39 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""} | RAYYAN-LABELS: data | USER-NOTES: {""Shawn ""=>[""population:white-tailed deer;exposure: human calls; control: natural predator calls; outcome: foraging time, vigilance""]}",,
rayyan-811287035,Mesopredators retain their fear of humans across a development gradient,,,,BEHAVIORAL ECOLOGY,"[""1045-2249"", ""1465-7279     J9  - BEHAV ECOL     JI  - Behav. Ecol.""]",,,,"Reilly, CM and Suraci, JP and Smith, JA and Wang, YW and Wilmers, CC",,English,,"[""Univ Calif Santa Cruz, Ctr Integrated Spatial Res, Environm Studies Dept, Santa Cruz, CA 95064 USA"", ""Conservat Sci Partners Inc, Truckee, CA 96161 USA"", ""Univ Calif Davis, Dept Wildlife Fish & Conservat Biol, Davis, CA 95616 USA"", ""San Francisco Bay Bird Observ, 524 Valley Way, Milpitas, CA 95035 USA     FU  - Resources Legacy Fund; Peninsula Open Space Trust     FX  - This work was supported by the Resources Legacy Fund and the Peninsula Open Space Trust. We thank M. Dobkins, C. Huesby, and I. Shukla for their assistance with fieldwork and scoring photographs. We are grateful to the property owners throughout the Santa Cruz Mountains who hosted our speakers and cameras in their backyards. We thank the Midpeninsula Regional Open Space District and the Soquel Demonstration Forest for granting us access to our remote study sites for this project. We thank the Resources Legacy Fund and the Peninsula Open Space Trust for their support.     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA""]","Anthropogenic impacts on wildlife behavior arise both from the immediate presence of people, which induces fear responses in many species, and the human footprint on the landscape (i.e., infrastructure development), which affects animal movement and habitat use. Where both disturbance types co-occur, disentangling their impacts remains a challenge. Disturbance effects may interact such that species respond to increased human footprint by either reducing (habituation) or increasing (sensitization) avoidance of human presence. We experimentally manipulated perceived human presence, using playbacks of people talking, across a gradient of human footprint in California's Santa Cruz Mountains and used camera traps to quantify the behavioral responses of bobcats (Lynx rufus), striped skunks (Mephitis mephitis), and Virginia opossums (Didelphis virginiana), mesopredators known to exhibit strong fear response to human presence, but which vary in their use of developed areas. Bobcats and skunks reduced activity in response to human playbacks but showed no change in responsiveness to playbacks across the gradient of human footprint, suggesting that these species are similarly fearful of humans at all infrastructure development levels tested. Opossums exhibited a significant interaction between human footprint and playback treatment such that reductions in activity level in response to human playbacks were strongest at higher levels of building density. Our results indicate that, rather than habituating to human presence some mesopredators retain a strong fear of humans or become more fearful when inhabiting more developed areas. We suggest that consistently high responsiveness to immediate human presence may benefit mesopredators living in human-dominated landscapes by mitigating the risk of anthropogenic mortality.        Mesopredators remain fearful of humans, whether they are in remote, protected areas, or in the backyards of densely populated suburbs. Using an experimental approach, we show that bobcats and striped skunks exhibit a consistent fear response to people, regardless of level of human footprint. Meanwhile, Virginia opossums exhibit heightened fear in areas of high human disturbance. Maintaining a strong fear response to humans may help mesopredators coexist in human-dominated landscapes.","Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  72 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""} | RAYYAN-LABELS: data | USER-NOTES: {""Shawn ""=>[""population: bobcats, striped skuns, virginia opposum; exposure: development gradient, human playback; control: none?; outcome: activity, space use""]}",,
rayyan-811287037,An Evolutionarily Threat-Relevant Odor Strengthens Human Fear Memory,2020,,,FRONTIERS IN NEUROSCIENCE,1662-453X     J9  - FRONT NEUROSCI-SWITZ     JI  - Front. Neurosci.,14,,,"Taylor, JE and Lau, H and Seymour, B and Nakae, A and Sumioka, H and Kawato, M and Koizumi, A",,English,,"[""Adv Telecommun Res Inst Int, Dept Decoded Neurofeedback DecNef, Computat Neurosci Labs, Kyoto, Japan"", ""Univ Calif Los Angeles, Brain Res Inst, Dept Psychol, Los Angeles, CA 90024 USA"", ""Univ Hong Kong, Dept Psychol, Pokfulam, Hong Kong, Peoples R China"", ""Natl Inst Informat & Commun Technol NICT, Ctr Informat & Neural Networks CiNet, Osaka, Japan"", ""Univ Cambridge, Dept Engn, Computat & Biol Learning Lab, Cambridge, England"", ""Adv Telecommun Res Inst Int, Cognit Mech Labs, Dept Neural Computat Decis Making, Kyoto, Japan"", ""Osaka Univ, Grad Sch Frontier Biosci, Osaka, Japan"", ""Adv Telecommun Res Inst Int, Hiroshi Ishiguro Labs, Kyoto, Japan"", ""Sony Comp Sci Labs Inc, Tokyo, Japan     FU  - ImPACT Program of Council for Science, Technology and Innovation (Cabinet Office, Government of Japan); Brain/Mind Beyond program of the Japan Agency for Medical Research and Development (AMED) [JP19dm0307008]; JT presto [JPMJPR18J3]; Versus ArthritisVersus Arthritis [21537]     FX  - This work was supported by the ImPACT Program of Council for Science, Technology and Innovation (Cabinet Office, Government of Japan), by the Brain/Mind Beyond program of the Japan Agency for Medical Research and Development (AMED) (JP19dm0307008), by JT presto (JPMJPR18J3), and by Versus Arthritis: 21537.     PU  - FRONTIERS MEDIA SA     PI  - LAUSANNE     PA  - AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND""]","Olfaction is an evolutionary ancient sense, but it remains unclear to what extent it can influence routine human behavior. We examined whether a threat-relevant predator odor (2-methyl-2-thiazoline) would contextually enhance the formation of human fear memory associations. Participants who learned to associate visual stimuli with electric shock in this predator odor context later showed stronger fear responses to the visual stimuli than participants who learned in an aversiveness-matched control odor context. This effect generalized to testing in another odor context, even after extinction training. Results of a separate experiment indicate that a possible biological mechanism for this effect may be increased cortisol levels in a predator odor context. These results suggest that innate olfactory processes can play an important role in human fear learning. Modulatory influences of odor contexts may partly explain the sometimes maladaptive persistence of human fear memory, e.g., in post-traumatic stress disorders.","Times Cited in Web of Science Core Collection:  5     Total Times Cited:  5     Cited Reference Count:  59 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",,
rayyan-811287040,Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice,2019,,,ECOLOGY LETTERS,"[""1461-023X"", ""1461-0248     J9  - ECOL LETT     JI  - Ecol. Lett.""]",22,10,1578-1586,"Suraci, JP and Clinchy, M and Zanette, LY and Wilmers, CC",,English,,"[""Univ Calif Santa Cruz, Environm Studies Dept, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA"", ""Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - Gordon and Betty Moore FoundationGordon and Betty Moore Foundation; National Science FoundationNational Science Foundation (NSF) [1255913]; Natural Sciences and Engineering Research Council of Canada Discovery GrantNatural Sciences and Engineering Research Council of Canada (NSERC)     FX  - We thank A. Crabb, L. Vu, R. King, K. Briner and P. Houghtaling for help in the field, and several volunteers for field assistance and camera trap image scoring. J. Estes, A. Ordiz, C. Packer, V. Penteriani, M. Power, E. Preisser, T. Williams and two anonymous reviewers provided valuable feedback on earlier versions of the manuscript. The funding was provided by the Gordon and Betty Moore Foundation, National Science Foundation grant #1255913 to CCW, and a Natural Sciences and Engineering Research Council of Canada Discovery Grant to LYZ.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Apex predators such as large carnivores can have cascading, landscape-scale impacts across wildlife communities, which could result largely from the fear they inspire, although this has yet to be experimentally demonstrated. Humans have supplanted large carnivores as apex predators in many systems, and similarly pervasive impacts may now result from fear of the human 'super predator'. We conducted a landscape-scale playback experiment demonstrating that the sound of humans speaking generates a landscape of fear with pervasive effects across wildlife communities. Large carnivores avoided human voices and moved more cautiously when hearing humans, while medium-sized carnivores became more elusive and reduced foraging. Small mammals evidently benefited, increasing habitat use and foraging. Thus, just the sound of a predator can have landscape-scale effects at multiple trophic levels. Our results indicate that many of the globally observed impacts on wildlife attributed to anthropogenic activity may be explained by fear of humans.","Times Cited in Web of Science Core Collection:  85     Total Times Cited:  85     Cited Reference Count:  61 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""} | RAYYAN-LABELS: data | USER-NOTES: {""Shawn ""=>[""population: cross-trophic; intervention: human playback; control: none; outcome: activity, foraging behavior""]}",,
rayyan-811287046,Hunting for fear: innovating management of human-wildlife conflicts,2013,,,JOURNAL OF APPLIED ECOLOGY,"[""0021-8901"", ""1365-2664     J9  - J APPL ECOL     JI  - J. Appl. Ecol.""]",50,3,544-549,"Cromsigt, JPGM and Kuijper, DPJ and Adam, M and Beschta, RL and Churski, M and Eycott, A and Kerley, GIH and Mysterud, A and Schmidt, K and West, K",,English,,"[""Swedish Univ Agr Sci, Dept Wildlife Fish & Environm Studies, S-90183 Umea, Sweden"", ""Univ Oslo, Ctr Ecol & Evolutionary Synth, Dept Biosci, N-0316 Oslo, Norway"", ""Nelson Mandela Metropolitan Univ NMMU, Ctr African Conservat Ecol, Dept Zool, ZA-6031 Port Elizabeth, South Africa"", ""Polish Acad Sci, Mammal Res Inst, PL-17230 Bialowieza, Poland"", ""Carl von Ossietzky Univ Oldenburg, D-26111 Oldenburg, Germany"", ""Oregon State Univ, Dept Forest Ecosyst & Soc, Corvallis, OR 97333 USA"", ""Univ Bergen, Inst Biol, N-5006 Bergen, Norway"", ""Imperial Coll London, Ascot SL5 7PY, Berks, England     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","There is a growing theoretical basis for the role of predation risk as a driver of trophic interactions, conceptualized as the ecology of fear'. However, current ungulate management ignores the role of nonlethal risk effects of predation. We introduce the concept of hunting for fear' as an extension of the more classical hunting to kill' that is typically used in large herbivore management. Hunting for fear aims to induce a behavioural response in ungulates, for example, as a way of diverting them from areas where their impact is undesired. Synthesis and applications. Hunting for fear asks for novel, potentially controversial, ways of hunting to induce strong enough risk effects, including more hunting on foot and with dogs, extended hunting seasons (ideally year-round) and increased hunting of calves. Hunting for fear may offer novel opportunities to help manage the growing humanwildlife conflicts that we experience globally.","Times Cited in Web of Science Core Collection:  107     Total Times Cited:  108     Cited Reference Count:  38 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""} | RAYYAN-LABELS: applied | RAYYAN-EXCLUSION-REASONS: wrong intervention",,
rayyan-811287048,Fear in animals: a meta-analysis and review of risk assessment,2005,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"[""0962-8452"", ""1471-2954     J9  - P ROY SOC B-BIOL SCI     JI  - Proc. R. Soc. B-Biol. Sci.""]",272,1581,2627-2634,"Stankowich, T and Blumstein, DT",,English,,"[""Univ Calif Davis, Dept Psychol, Anim Behav Grad Grp, Davis, CA 95616 USA"", ""Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles, CA 90095 USA     PU  - ROYAL SOC     PI  - LONDON     PA  - 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND""]","The amount of risk animals perceive in a given circumstance (i.e. their degree of 'fear') is a difficult motivational state to study. While many studies have used flight initiation distance as a proxy for fearfulness and examined the factors influencing the decision to flee, there is no general understanding of the relative importance of these factors. By identifying factors with large effect sizes, we can determine whether anti-predator strategies reduce fear, and we gain a unique perspective on the coevolution of predator and anti-predator behaviour. Based on an extensive review and formal meta-analysis, we found that predator traits that were associated with greater risk (speed, size, directness of approach), increased prey distance to refuge and experience with predators consistently amplified the perception of risk (in terms of flight initiation distance). While fish tolerated closer approach when in larger schools, other taxa had greater flight initiation distances when in larger groups. The presence of armoured and cryptic morphologies decreased perception of risk, but body temperature in lizards had no robust effect on flight initiation distance. We find that selection generally acts on prey to be sensitive to predator behaviour, as well as on prey to modify their behaviour and morphology.","Times Cited in Web of Science Core Collection:  645     Total Times Cited:  669     Cited Reference Count:  59 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""} | RAYYAN-LABELS: review | RAYYAN-EXCLUSION-REASONS: wrong intervention",,
rayyan-811287050,Fear of the human 'super predator' reduces feeding time in large carnivores,2017,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"[""0962-8452"", ""1471-2954     J9  - P ROY SOC B-BIOL SCI     JI  - Proc. R. Soc. B-Biol. Sci.""]",284,1857,,"Smith, JA and Suraci, JP and Clinchy, M and Crawford, A and Roberts, D and Zanette, LY and Wilmers, CC",,English,,"[""Univ Calif Santa Cruz, Environm Studies Dept, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA"", ""Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - National Science FoundationNational Science Foundation (NSF) [1255913]; Gordon and Betty Moore FoundationGordon and Betty Moore Foundation; Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR     FX  - Funding was provided by National Science Foundation grant #1255913, the Gordon and Betty Moore Foundation, and the Natural Sciences and Engineering Research Council of Canada.     PU  - ROYAL SOC     PI  - LONDON     PA  - 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND""]","Large carnivores' fear of the human 'super predator' has the potential to alter their feeding behaviour and result in human-induced trophic cascades. However, it has yet to be experimentally tested if large carnivores perceive humans as predators and react strongly enough to have cascading effects on their prey. We conducted a predator playback experiment exposing pumas to predator (human) and non-predator control (frog) sounds at puma feeding sites to measure immediate fear responses to humans and the subsequent impacts on feeding. We found that pumas fled more frequently, took longer to return, and reduced their overall feeding time by more than half in response to hearing the human 'super predator'. Combined with our previous work showing higher kill rates of deer in more urbanized landscapes, this study reveals that fear is the mechanism driving an ecological cascade from humans to increased puma predation on deer. By demonstrating that the fear of humans can cause a strong reduction in feeding by pumas, our results support that non-consumptive forms of human disturbance may alter the ecological role of large carnivores.","Times Cited in Web of Science Core Collection:  87     Total Times Cited:  89     Cited Reference Count:  30 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""} | RAYYAN-LABELS: data | USER-NOTES: {""Shawn ""=>[""population:puma;intervention:human playback;control: frog playback; outcome: space use, activity, foraging time""]}",,
rayyan-811287052,Contrasting patterns of risk from human and non-human predators shape temporal activity of prey,2022,,,JOURNAL OF ANIMAL ECOLOGY,"[""0021-8790"", ""1365-2656     J9  - J ANIM ECOL     JI  - J. Anim. Ecol.""]",91,1,46-60,"Gaynor, KM and McInturff, A and Brashares, JS",,English,,"[""Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA"", ""Natl Ctr Ecol Anal & Synth, Santa Barbara, CA 93101 USA     FU  - California Department of Fish and Wildlife; Rhodes Trust; Safari Club International Foundation; National Science FoundationNational Science Foundation (NSF)     FX  - California Department of Fish and Wildlife; Schmidt Science Fellows in partnership with Rhodes Trust; Safari Club International Foundation; National Science Foundation     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Spatiotemporal variation in predation risk arises from interactions between landscape heterogeneity, predator densities and predator hunting mode, generating landscapes of fear for prey species that can have important effects on prey behaviour and ecosystem dynamics. As widespread apex predators, humans present a significant source of risk for hunted animal populations. Spatiotemporal patterns of risk from hunters can overlap or contrast with patterns of risk from other predators. Human infrastructure can also reshape spatial patterns of risk by facilitating or impeding hunter or predator movement, or deterring predators that are themselves wary of humans. We examined how anthropogenic and natural landscape features interact with hunting modes of rifle hunters and mountain lions Puma concolor to generate spatiotemporal patterns of risk for their primary prey. We explored the implications of human-modified landscapes of fear for Columbian black-tailed deer Odocoileus hemionus columbianus in Mendocino County, California. We used historical harvest records, hunter GPS trackers and camera trap records of mountain lions to model patterns of risk for deer. We then used camera traps to examine deer spatial and temporal activity patterns in response to this variation in risk. Hunters and mountain lions exhibited distinct, contrasting patterns of spatiotemporal activity. Risk from rifle hunters, who rely on long lines of sight, was highest in open grasslands and near roads and was confined to the daytime. Risk from mountain lions, an ambush predator, was highest in dense shrubland habitat, farther from developed areas, and during the night and crepuscular periods. Areas of human settlement provided a refuge from both hunters and mountain lions. We found no evidence that deer avoided risk in space at the scale of our observations, but deer adjusted their temporal activity patterns to reduce the risk of encounters with humans and mountain lions in areas of higher risk. Our study demonstrates that interactions between human infrastructure, habitat cover and predator hunting mode can result in distinct spatial patterns of predation risk from hunters and other predators that may lead to trade-offs for prey species. However, distinct diel activity patterns of predators may create vacant hunting domains that reduce costly trade-offs for prey. Our study highlights the importance of temporal partitioning as a mechanism of predation risk avoidance.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  66 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""} | RAYYAN-LABELS: data | USER-NOTES: {""Shawn ""=>[""population: columbian black-tailed deer; exposure: development gradient, human presence; control: puma presence; outcome: foraging time, vigilance, space use""]}",,
