"key","title","year","journal","authors","language","location","abstract","RAYYAN-EXCLUSION-REASONS","RAYYAN-LABELS","reviewer","status","exposure","control","outcome","population","intervention"
"rayyan-811287026","Fear of the human ""super predator"" far exceeds the fear of large carnivores in a model mesocarnivore",2016,"BEHAVIORAL ECOLOGY","Clinchy, M and Zanette, LY and Roberts, D and Suraci, JP and Buesching, CD and Newman, C and Macdonald, DW","English","[""Western Univ, Dept Biol, London, ON N6A 5B7, Canada"", ""Raincoast Conservat Fdn, Sidney, BC V8L 3Y3, Canada"", ""Univ Oxford, Wildlife Conservat Res Unit, Recanati Kaplan Ctr, Tubney House, Tubney OX13 5QL, England     FU  - Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR; UK People's Trust for Endangered Species Grant     FX  - This work was supported by Natural Sciences and Engineering Research Council of Canada Discovery Grants to M.C. and L.Y.Z. and a UK People's Trust for Endangered Species Grant to D.W.M.     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA""]","The fear (perceived predation risk) large carnivores inspire in mesocarnivores can affect ecosystem structure and function, and loss of the ""landscape of fear"" large carnivores create adds to concerns regarding the worldwide loss of large carnivores. Fear of humans has been proposed to act as a substitute, but new research identifies humans as a ""super predator"" globally far more lethal to mesocarnivores, and thus presumably far more frightening. Although much of the world now consists of human-dominated landscapes, there remains relatively little research regarding how behavioral responses to humans affect trophic networks, to the extent that no study has yet experimentally tested the relative fearfulness mesocarnivores demonstrate in reaction to humans versus nonhuman predators. Badgers (Meles meles) in Britain are a model mesocarnivore insofar as they no longer need fear native large carnivores (bears, Ursus arctos; wolves, Canis lupus) and now perhaps fear humans more. We tested the fearfulness badgers demonstrated to audio playbacks of extant (dog) and extinct (bear and wolf) large carnivores, and humans, by assaying the suppression of foraging behavior. Hearing humans affected latency to feed, vigilance, foraging time, number of feeding visits, and number of badgers feeding. Hearing dogs and bears had far lesser effects on latency to feed, and hearing wolves had no effects. Our results indicate fear of humans evidently cannot substitute for the fear large carnivores inspire in mesocarnivores because humans are perceived as far more frightening, which we discuss in light of the recovery of large carnivores in human-dominated landscapes.",," data","Shawn","Included","human playback","natural predator","foraging behavior",,
"rayyan-811287033","Prey tells, large herbivores fear the human 'super predator'",2022,"OECOLOGIA","Crawford, DA and Conner, LM and Clinchy, M and Zanette, LY and Cherry, MJ","English","[""Texas A&M Univ Kingsville, Caesar Kleberg Wildlife Res Inst, Dept Rangeland & Wildlife Sci, 700 Univ Blvd,MSC 218, Kingsville, TX 78363 USA"", ""Jones Ctr Ichauway, 3988 Jones Ctr Dr, Newton, GA 39870 USA"", ""Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - Jones Center at Ichauway [JCI2020-06]; Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR     FX  - This work was funded by the Jones Center at Ichauway [Grant no. JCI2020-06] and Natural Sciences and Engineering Research Council of Canada grants awarded to Liana Y. Zanette.     PU  - SPRINGER     PI  - NEW YORK     PA  - ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES""]","Fear of the human 'super predator' has been demonstrated to so alter the feeding behavior of large carnivores as to cause trophic cascades. It has yet to be experimentally tested if fear of humans has comparably large effects on the feeding behavior of large herbivores. We conducted a predator playback experiment exposing white-tailed deer to the vocalizations of humans, extant or locally extirpated non-human predators (coyotes, cougars, dogs, wolves), or non-predator controls (birds), at supplemental food patches to measure the relative impacts on deer feeding behavior. Deer were more than twice as likely to flee upon hearing humans than other predators, and hearing humans was matched only by hearing wolves in reducing overall feeding time gaged by visits to the food patch in the following hour. Combined with previous, site-specific research linking deer fecundity to predator abundance, this study reveals that fear of humans has the potential to induce a larger effect on ungulate reproduction than has ever been reported. By demonstrating that deer most fear the human 'super predator', our results point to the fear humans induce in large ungulates having population- and community-level impacts comparable to those caused by the fear humans induce in large carnivores.",," data","Shawn","Included","human playback","natural predator calls","foraging time, vigilance","white-tailed deer",
"rayyan-811287035","Mesopredators retain their fear of humans across a development gradient",,"BEHAVIORAL ECOLOGY","Reilly, CM and Suraci, JP and Smith, JA and Wang, YW and Wilmers, CC","English","[""Univ Calif Santa Cruz, Ctr Integrated Spatial Res, Environm Studies Dept, Santa Cruz, CA 95064 USA"", ""Conservat Sci Partners Inc, Truckee, CA 96161 USA"", ""Univ Calif Davis, Dept Wildlife Fish & Conservat Biol, Davis, CA 95616 USA"", ""San Francisco Bay Bird Observ, 524 Valley Way, Milpitas, CA 95035 USA     FU  - Resources Legacy Fund; Peninsula Open Space Trust     FX  - This work was supported by the Resources Legacy Fund and the Peninsula Open Space Trust. We thank M. Dobkins, C. Huesby, and I. Shukla for their assistance with fieldwork and scoring photographs. We are grateful to the property owners throughout the Santa Cruz Mountains who hosted our speakers and cameras in their backyards. We thank the Midpeninsula Regional Open Space District and the Soquel Demonstration Forest for granting us access to our remote study sites for this project. We thank the Resources Legacy Fund and the Peninsula Open Space Trust for their support.     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA""]","Anthropogenic impacts on wildlife behavior arise both from the immediate presence of people, which induces fear responses in many species, and the human footprint on the landscape (i.e., infrastructure development), which affects animal movement and habitat use. Where both disturbance types co-occur, disentangling their impacts remains a challenge. Disturbance effects may interact such that species respond to increased human footprint by either reducing (habituation) or increasing (sensitization) avoidance of human presence. We experimentally manipulated perceived human presence, using playbacks of people talking, across a gradient of human footprint in California's Santa Cruz Mountains and used camera traps to quantify the behavioral responses of bobcats (Lynx rufus), striped skunks (Mephitis mephitis), and Virginia opossums (Didelphis virginiana), mesopredators known to exhibit strong fear response to human presence, but which vary in their use of developed areas. Bobcats and skunks reduced activity in response to human playbacks but showed no change in responsiveness to playbacks across the gradient of human footprint, suggesting that these species are similarly fearful of humans at all infrastructure development levels tested. Opossums exhibited a significant interaction between human footprint and playback treatment such that reductions in activity level in response to human playbacks were strongest at higher levels of building density. Our results indicate that, rather than habituating to human presence some mesopredators retain a strong fear of humans or become more fearful when inhabiting more developed areas. We suggest that consistently high responsiveness to immediate human presence may benefit mesopredators living in human-dominated landscapes by mitigating the risk of anthropogenic mortality.        Mesopredators remain fearful of humans, whether they are in remote, protected areas, or in the backyards of densely populated suburbs. Using an experimental approach, we show that bobcats and striped skunks exhibit a consistent fear response to people, regardless of level of human footprint. Meanwhile, Virginia opossums exhibit heightened fear in areas of high human disturbance. Maintaining a strong fear response to humans may help mesopredators coexist in human-dominated landscapes.",," data","Shawn","Included","development gradient","none","activity, space use","bobcats, striped skuns, virginia opposum",
"rayyan-811287040","Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice",2019,"ECOLOGY LETTERS","Suraci, JP and Clinchy, M and Zanette, LY and Wilmers, CC","English","[""Univ Calif Santa Cruz, Environm Studies Dept, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA"", ""Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - Gordon and Betty Moore FoundationGordon and Betty Moore Foundation; National Science FoundationNational Science Foundation (NSF) [1255913]; Natural Sciences and Engineering Research Council of Canada Discovery GrantNatural Sciences and Engineering Research Council of Canada (NSERC)     FX  - We thank A. Crabb, L. Vu, R. King, K. Briner and P. Houghtaling for help in the field, and several volunteers for field assistance and camera trap image scoring. J. Estes, A. Ordiz, C. Packer, V. Penteriani, M. Power, E. Preisser, T. Williams and two anonymous reviewers provided valuable feedback on earlier versions of the manuscript. The funding was provided by the Gordon and Betty Moore Foundation, National Science Foundation grant #1255913 to CCW, and a Natural Sciences and Engineering Research Council of Canada Discovery Grant to LYZ.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Apex predators such as large carnivores can have cascading, landscape-scale impacts across wildlife communities, which could result largely from the fear they inspire, although this has yet to be experimentally demonstrated. Humans have supplanted large carnivores as apex predators in many systems, and similarly pervasive impacts may now result from fear of the human 'super predator'. We conducted a landscape-scale playback experiment demonstrating that the sound of humans speaking generates a landscape of fear with pervasive effects across wildlife communities. Large carnivores avoided human voices and moved more cautiously when hearing humans, while medium-sized carnivores became more elusive and reduced foraging. Small mammals evidently benefited, increasing habitat use and foraging. Thus, just the sound of a predator can have landscape-scale effects at multiple trophic levels. Our results indicate that many of the globally observed impacts on wildlife attributed to anthropogenic activity may be explained by fear of humans.",," data","Shawn","Included","human playback","none","activity, foraging behavior","cross-trophic","human playback"
"rayyan-811287050","Fear of the human 'super predator' reduces feeding time in large carnivores",2017,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Smith, JA and Suraci, JP and Clinchy, M and Crawford, A and Roberts, D and Zanette, LY and Wilmers, CC","English","[""Univ Calif Santa Cruz, Environm Studies Dept, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA"", ""Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - National Science FoundationNational Science Foundation (NSF) [1255913]; Gordon and Betty Moore FoundationGordon and Betty Moore Foundation; Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR     FX  - Funding was provided by National Science Foundation grant #1255913, the Gordon and Betty Moore Foundation, and the Natural Sciences and Engineering Research Council of Canada.     PU  - ROYAL SOC     PI  - LONDON     PA  - 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND""]","Large carnivores' fear of the human 'super predator' has the potential to alter their feeding behaviour and result in human-induced trophic cascades. However, it has yet to be experimentally tested if large carnivores perceive humans as predators and react strongly enough to have cascading effects on their prey. We conducted a predator playback experiment exposing pumas to predator (human) and non-predator control (frog) sounds at puma feeding sites to measure immediate fear responses to humans and the subsequent impacts on feeding. We found that pumas fled more frequently, took longer to return, and reduced their overall feeding time by more than half in response to hearing the human 'super predator'. Combined with our previous work showing higher kill rates of deer in more urbanized landscapes, this study reveals that fear is the mechanism driving an ecological cascade from humans to increased puma predation on deer. By demonstrating that the fear of humans can cause a strong reduction in feeding by pumas, our results support that non-consumptive forms of human disturbance may alter the ecological role of large carnivores.",," data","Shawn","Included","human playback","frog playback","space use, activity, foraging time","puma","human playback"
"rayyan-811287052","Contrasting patterns of risk from human and non-human predators shape temporal activity of prey",2022,"JOURNAL OF ANIMAL ECOLOGY","Gaynor, KM and McInturff, A and Brashares, JS","English","[""Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA"", ""Natl Ctr Ecol Anal & Synth, Santa Barbara, CA 93101 USA     FU  - California Department of Fish and Wildlife; Rhodes Trust; Safari Club International Foundation; National Science FoundationNational Science Foundation (NSF)     FX  - California Department of Fish and Wildlife; Schmidt Science Fellows in partnership with Rhodes Trust; Safari Club International Foundation; National Science Foundation     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Spatiotemporal variation in predation risk arises from interactions between landscape heterogeneity, predator densities and predator hunting mode, generating landscapes of fear for prey species that can have important effects on prey behaviour and ecosystem dynamics. As widespread apex predators, humans present a significant source of risk for hunted animal populations. Spatiotemporal patterns of risk from hunters can overlap or contrast with patterns of risk from other predators. Human infrastructure can also reshape spatial patterns of risk by facilitating or impeding hunter or predator movement, or deterring predators that are themselves wary of humans. We examined how anthropogenic and natural landscape features interact with hunting modes of rifle hunters and mountain lions Puma concolor to generate spatiotemporal patterns of risk for their primary prey. We explored the implications of human-modified landscapes of fear for Columbian black-tailed deer Odocoileus hemionus columbianus in Mendocino County, California. We used historical harvest records, hunter GPS trackers and camera trap records of mountain lions to model patterns of risk for deer. We then used camera traps to examine deer spatial and temporal activity patterns in response to this variation in risk. Hunters and mountain lions exhibited distinct, contrasting patterns of spatiotemporal activity. Risk from rifle hunters, who rely on long lines of sight, was highest in open grasslands and near roads and was confined to the daytime. Risk from mountain lions, an ambush predator, was highest in dense shrubland habitat, farther from developed areas, and during the night and crepuscular periods. Areas of human settlement provided a refuge from both hunters and mountain lions. We found no evidence that deer avoided risk in space at the scale of our observations, but deer adjusted their temporal activity patterns to reduce the risk of encounters with humans and mountain lions in areas of higher risk. Our study demonstrates that interactions between human infrastructure, habitat cover and predator hunting mode can result in distinct spatial patterns of predation risk from hunters and other predators that may lead to trade-offs for prey species. However, distinct diel activity patterns of predators may create vacant hunting domains that reduce costly trade-offs for prey. Our study highlights the importance of temporal partitioning as a mechanism of predation risk avoidance.",," data","Shawn","Included","development gradient","natural predator","foraging time, vigilance, space use","columbian black-tailed deer",
"rayyan-811287054","Context dependence of risk effects: wolves and tree logs create patches of fear in an old-growth forest",2015,"BEHAVIORAL ECOLOGY","Kuijper, DPJ and Bubnicki, JW and Churski, M and Mols, B and van Hooft, P","English","[""Polish Acad Sci, Mammal Res Inst, PL-17230 Bialowieza, Poland"", ""Wageningen Univ, Resource Ecol Grp, NL-6708 PB Wageningen, Netherlands     FU  - Marie Curie European Reintegration Grant under 7th Framework Programme [PERG06-GA-2009-256444]; National Science Centre, PolandNational Science Centre, Poland [2012/05/B/NZ8/01010, 5P06H 03418, 2012/07/N/NZ8/02651]     FX  - The work of D.P.J.K. was supported by a Marie Curie European Reintegration Grant under the 7th Framework Programme (project PERG06-GA-2009-256444) and by funding of the National Science Centre, Poland (grant no. 2012/05/B/NZ8/01010), whereas the work of M.C. was financed by grant no. 5P06H 03418 and J.W.B. by grant no. 2012/07/N/NZ8/02651.     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA""]","Large mammalian carnivores create areas perceived as having high and low risk by their ungulate prey. Human activities can indirectly shape this landscape of fear by altering behavior and spatial distribution of carnivores. We studied how red deer perceive the landscape of fear in an old-growth forest system (Bialowieza Primeval Forest, Poland) both at large and fine spatial scale. Camera traps were placed at locations with and without tree logs (fine-scale risk factor) and at different distances from the core of a wolf territory and human settlements (large-scale risk factor). Red deer avoided coming close to large tree logs and increased their vigilance levels when they were present in close vicinity. The strength of these effects depended on the distance to the wolf core area; deer perceived tree logs as more risky when wolves were more often present. Hence, tree logs inside wolf core areas create fine-scale patches of fear with reduced deer browsing pressure, thereby enhancing chances for successful tree recruitment. Human presence shapes this landscape of fear as wolf core areas are located far from human settlements. This ""human shadow"" on predator-prey interactions is therefore an important component that should be taken into account in human-dominated landscapes.",," data","Shawn","Maybe","development gradient","none","vigilance, space use","red deer",
"rayyan-811287056","Human observers impact habituated samango monkeys' perceived landscape of fear",2014,"BEHAVIORAL ECOLOGY","Nowak, K and le Roux, A and Richards, SA and Scheijen, CPJ and Hill, RA","English","[""Univ Durham, Dept Anthropol, Evolutionary Anthropol Res Grp, Durham DH1 3LE, England"", ""Univ Free State, Dept Zool & Entomol, ZA-9866 Qwaqwa, Phuthaditjhaba, South Africa"", ""Lajuma Res Ctr, Primate & Predator Project, ZA-0920 Makhado, South Africa"", ""Univ Durham, Dept Biol & Biomed Sci, Durham DH1 3LE, England"", ""Van Hall Larenstein, Dept Anim Management, NL-8901 BV Leeuwarden, Netherlands     FU  - Claude Leon Foundation; Durham University COFUND research fellowship program     FX  - This work was supported by postdoctoral grants to K.N. from the Claude Leon Foundation and from the Durham University COFUND research fellowship program with additional fieldwork support from Earthwatch.     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA""]","Humans and human infrastructure are known to alter the relationship between predators and prey, typically by directly or indirectly shielding one of the species from the other. In addition to these overt changes to animals' behavior, observers may have more subtle impacts on animals' foraging decisions. However, the anthropogenic alteration of risk-taking behavior has rarely been acknowledged or quantified, particularly in behavioral ecological studies reliant on habituated animals. We tested the magnitude of the ""human shield effect"" experimentally on 2 groups of samango monkeys, Cercopithecus mitis erythrarcus, at a site with high natural predator density and no human hunting pressure. In general, giving-up densities-the density of food remaining in a patch when a forager leaves-were greatest at ground level (0.1 m) relative to 3 tree canopy levels (2.5, 5, and 7.5 m), highlighting a strong vertical axis of fear. When human followers were present, however, giving-up densities were reduced at all 4 heights; furthermore, for 1 group, the vertical axis disappeared in the presence of observers. Our results suggest that human observers lower monkeys' perceived risk of terrestrial predators and, thereby, affect their foraging decisions at or near ground level. These results have significant implications for future studies of responses to predation risk based on habituation and observational methods.",," data","Shawn","Included","height gradient, human presence","natural predator","giving up density","samango monkeys",
"rayyan-811287058","Landscape of human fear in Neotropical rainforest mammals",2020,"BIOLOGICAL CONSERVATION","Mendes, CP and Carreira, D and Pedrosa, F and Beca, G and Lautenschlager, L and Akkawi, P and Berce, W and Ferraz, KMPMB and Galetti, M","English","[""Univ Estadual Paulista, Inst Biociencias, Dept Ecol, Lab Biol Conservacao LABIC,UNESP, Ave 24A,1515, BR-13506900 Rio Claro, SP, Brazil"", ""Univ Sao Paulo, Lab Ecol Manejo & Conservacao Fauna SilveSTRE, Escola Super Agr Luis de Queiroz, LEMaC,ESALQ, Av Padua Dias 11,Caixa Postal 09, BR-13418900 Piracicaba, SP, Brazil"", ""Univ Miami, Dept Biol, Coral Gables, FL 33146 USA"", ""Univ Western Australia, Sch Biol Sci, ERIE Ecosyst Restorat & Intervent Ecol Res Grp, Perth, WA, Australia     FU  - Conselho Nacional de Desenvolvimento Cientifico e Tecnologic - CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [168080/2014-1, 300970/2015-3]; Fundacao de Amparo a Pesquisa do Estado de Sao Paulo - FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2014/01986-0, 2014/09300-0, 2014/23095-0, 2015/22844-1, 2015/18381-6]     FX  - The resources required to the development of this study were provided by the Conselho Nacional de Desenvolvimento Cientifico e Tecnologic - CNPq (processes: 168080/2014-1 and 300970/2015-3) and by the Fundacao de Amparo a Pesquisa do Estado de Sao Paulo - FAPESP(processes: 2014/01986-0, 2014/09300-0, 2014/23095-0, 2015/22844-1 and 2015/18381-6).     PU  - ELSEVIER SCI LTD     PI  - OXFORD     PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND""]","The landscape of fear has profound effects on the species behavior, with most organisms engaging in risk avoidance behaviors in areas perceived as riskier. Most risk avoidance behaviors, such as temporal avoidance, have severe trade-offs between foraging efficiency and risk reduction. Human activities are able to affect the species landscape of fear, by increasing mortality of individuals (i.e. hunting, roadkill) and by disruption of the clues used by the species to estimate predation risk (e.g. light pollution). In this study, we used an extensive camera-trapping and night-time light satellite imagery to evaluate whether human activities affect the diel activity patterns of 17 species of rainforest dwelling mammals. We found evidence of diel activity shifts in eight of 17 analyzed species, in which five species become 21.6 % more nocturnal and three species become 11.7% more diurnal in high disturbed areas. This activity shifts were observed for both diurnal and nocturnal species. Persecuted species (game and predators) were more susceptible to present activity shifts. Since changes in foraging activity may affect species fitness, the behavior of humans' avoidance may be another driver of the Anthropocene defamation.",," data","Shawn","Included","human activity","none","activity time","17 mammal species",
"rayyan-811287059","A human-induced landscape of fear influences foraging behavior of brown bears",2019,"BASIC AND APPLIED ECOLOGY","Lodberg-Holm, HK and Gelink, HW and Hertel, AG and Swenson, E and Domevscik, M and Steyaert, SMJG","English","[""Norwegian Univ Life Sci, Fac Environm Sci & Nat Resource Management, POB 5003, NO-1432 As, Norway"", ""Univ Southeast Norway, Dept Nat Sci & Environm Hlth, Fac Technol Nat Sci & Maritime Sci, POB 5003, NO-3800 Bo, Norway"", ""Inland Norway Univ Appl Sci, Fac Appl Ecol Agr Sci & Biotechnol, Campus Evenstad, NO-2480 Koppang, Norway"", ""Senckenberg Biodivers & Climate Res Ctr BIK F, DE-60325 Frankfurt, Germany"", ""Norwegian Inst Nat Res, POB 5685, NO-7485 Trondheim, Norway"", ""Swedish Univ Agr Sci, Fac Forest Sci, S-90736 Umea, Sweden     FU  - Norwegian Environment Directorate; Swedish Environmental Protection Agency; Austrian Science FundAustrian Science Fund (FWF); Swedish Association for Hunting and Wildlife Management; Polish-Norwegian Research Program [POI-NOR/198352/85/2013]; Center for Advanced Study in Oslo, Norway     FX  - This study is part of the Scandinavian Brown Bear Research Project (SBBRP) and was funded primarily by the Norwegian Environment Directorate, the Swedish Environmental Protection Agency, the Austrian Science Fund, and the Swedish Association for Hunting and Wildlife Management. The research has received funding from the Polish-Norwegian Research Program operated by the National Center for Research and Development under the Norwegian Financial Mechanism 2009-2014 in the frame of Project Contract No, POI-NOR/198352/85/2013, We greatly acknowledge the support of the Center for Advanced Study in Oslo, Norway, that funded and hosted our research project \""Climate effects on harvested large mammal populations\"" during the academic year of 2015-2016. This is scientific publication no. 258 from the SBBRP.     PU  - ELSEVIER GMBH     PI  - MUNICH     PA  - HACKERBRUCKE 6, 80335 MUNICH, GERMANY""]","Animals adapt their foraging behavior to variations in food availability and predation risk. In Sweden, brown bears (Ursus arctos) depend on a nearly continuous intake of berries, especially bilberries (Vaccinium myrtilius) during late summer and early autumn to fatten up prior to hibernation. This overlaps with the bear hunting season that starts on 21 August. Bilberry occurrence varies across space, as does human-induced mortality risk. Here, we hypothesize that brown bears select for areas with a high probability of bilberry occurrence across a boreal forest ecosystem in Sweden (H1), and that human-induced mortality risk reduces bear selection for bilberries (H2). In addition, we hypothesized that hears that survived the hunting season avoided bilberry areas associated with high risk, whereas bears that were later killed selected more strongly for berries and less against risk prior to the hunting season (H3). To evaluate our hypotheses, we used resource selection functions to contrast bear GPS relocation data (N = 3 5, 2012-2015) and random positions within the bears home range with generalized linear mixed effect models against two focal variables: a map predicting bilberry occurrence and a map predicting human-induced mortality risk. We found that bears selected for areas with a high probability of bilberry occurrence (supporting H1), but avoided these areas if they were associated with and high risk of hunting mortality (supporting H2). The killed and surviving bears did not differ in their selection for bilberries, hut they did differ in their selection against risk (partially supporting H3). Surviving bears strongly avoided high risk areas, whereas killed hears responded less to risk and selected for high-risk areas with a low probability of bilberry occurrence. This suggests that killed bears selected for other food sources than berries in high risk areas, which exposed them to human hunters. We conclude that bears respond to a landscape of fear during the berry season and that different foraging strategies may have a direct impact on individual mortality during the hunting season. (C) 2018 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.",," data","Shawn","Included","hunting","none","foraging behavior, mortality","brown bears",
