Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Clinchy, M; Zanette, LY; Roberts, D; Suraci, JP; Buesching, CD; Newman, C; Macdonald, DW",,,,"Clinchy, Michael; Zanette, Liana Y.; Roberts, Devin; Suraci, Justin P.; Buesching, Christina D.; Newman, Chris; Macdonald, David W.",,,Fear of the human super predator far exceeds the fear of large carnivores in a model mesocarnivore,BEHAVIORAL ECOLOGY,,,English,Article,,,,,,antipredator behavior; ecology of fear; human disturbance; large carnivore loss; perceived predation risk; predator-prey naivete,BADGERS MELES-MELES; PLAYBACK EXPERIMENTS; ACTIVITY PATTERNS; RISK; RESPONSES; PREY; CONSEQUENCES; LANDSCAPES; LESSONS; ECOLOGY,"The fear (perceived predation risk) large carnivores inspire in mesocarnivores can affect ecosystem structure and function, and loss of the landscape of fear large carnivores create adds to concerns regarding the worldwide loss of large carnivores. Fear of humans has been proposed to act as a substitute, but new research identifies humans as a super predator globally far more lethal to mesocarnivores, and thus presumably far more frightening. Although much of the world now consists of human-dominated landscapes, there remains relatively little research regarding how behavioral responses to humans affect trophic networks, to the extent that no study has yet experimentally tested the relative fearfulness mesocarnivores demonstrate in reaction to humans versus nonhuman predators. Badgers (Meles meles) in Britain are a model mesocarnivore insofar as they no longer need fear native large carnivores (bears, Ursus arctos; wolves, Canis lupus) and now perhaps fear humans more. We tested the fearfulness badgers demonstrated to audio playbacks of extant (dog) and extinct (bear and wolf) large carnivores, and humans, by assaying the suppression of foraging behavior. Hearing humans affected latency to feed, vigilance, foraging time, number of feeding visits, and number of badgers feeding. Hearing dogs and bears had far lesser effects on latency to feed, and hearing wolves had no effects. Our results indicate fear of humans evidently cannot substitute for the fear large carnivores inspire in mesocarnivores because humans are perceived as far more frightening, which we discuss in light of the recovery of large carnivores in human-dominated landscapes.",,,,,,,,,,,,,,,,,,,,,,,NOV-DEC,2016,27,6,,,,,1826,1832,,10.1093/beheco/arw117,,,,,,Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Zoology,,,,,,,2022-04-02,
J,"Crawford, DA; Conner, LM; Clinchy, M; Zanette, LY; Cherry, MJ",,,,"Crawford, Daniel A.; Conner, L. Mike; Clinchy, Michael; Zanette, Liana Y.; Cherry, Michael J.",,,"Prey tells, large herbivores fear the human 'super predator'",OECOLOGIA,,,English,Article,,,,,,Ecology of fear; Behavioral response; Odocoileus virginianus; Perceived predation risk; Playback experiment,WHITE-TAILED DEER; HUMAN DISTURBANCE; RESPONSES; CARNIVORES; DYNAMICS; ECOLOGY; RISK,"Fear of the human 'super predator' has been demonstrated to so alter the feeding behavior of large carnivores as to cause trophic cascades. It has yet to be experimentally tested if fear of humans has comparably large effects on the feeding behavior of large herbivores. We conducted a predator playback experiment exposing white-tailed deer to the vocalizations of humans, extant or locally extirpated non-human predators (coyotes, cougars, dogs, wolves), or non-predator controls (birds), at supplemental food patches to measure the relative impacts on deer feeding behavior. Deer were more than twice as likely to flee upon hearing humans than other predators, and hearing humans was matched only by hearing wolves in reducing overall feeding time gaged by visits to the food patch in the following hour. Combined with previous, site-specific research linking deer fecundity to predator abundance, this study reveals that fear of humans has the potential to induce a larger effect on ungulate reproduction than has ever been reported. By demonstrating that deer most fear the human 'super predator', our results point to the fear humans induce in large ungulates having population- and community-level impacts comparable to those caused by the fear humans induce in large carnivores.",,,,,,,,,,,,,,,,,,,,,,,JAN,2022,198,1,,,,,91,98,,10.1007/s00442-021-05080-w,,JAN 2022,,,,Environmental Sciences & Ecology,,,,,,,2022-04-02,
J,"Reilly, CM; Suraci, JP; Smith, JA; Wang, YW; Wilmers, CC",,,,"Reilly, Chloe M.; Suraci, Justin P.; Smith, Justine A.; Wang, Yiwei; Wilmers, Christopher C.",,,Mesopredators retain their fear of humans across a development gradient,BEHAVIORAL ECOLOGY,,,English,Article; Early Access,,,,,,camera trap; ecology of fear; habituation; human footprint; human impact; playback experiment; sensitization,CAUSE-SPECIFIC MORTALITY; HUMAN-INDUCED LANDSCAPE; HUMAN DISTURBANCE; LARGE CARNIVORE; FORAGING BEHAVIOR; HABITUATION; RISK; PREDATORS; SELECTION; ECOLOGY,"Anthropogenic impacts on wildlife behavior arise both from the immediate presence of people, which induces fear responses in many species, and the human footprint on the landscape (i.e., infrastructure development), which affects animal movement and habitat use. Where both disturbance types co-occur, disentangling their impacts remains a challenge. Disturbance effects may interact such that species respond to increased human footprint by either reducing (habituation) or increasing (sensitization) avoidance of human presence. We experimentally manipulated perceived human presence, using playbacks of people talking, across a gradient of human footprint in California's Santa Cruz Mountains and used camera traps to quantify the behavioral responses of bobcats (Lynx rufus), striped skunks (Mephitis mephitis), and Virginia opossums (Didelphis virginiana), mesopredators known to exhibit strong fear response to human presence, but which vary in their use of developed areas. Bobcats and skunks reduced activity in response to human playbacks but showed no change in responsiveness to playbacks across the gradient of human footprint, suggesting that these species are similarly fearful of humans at all infrastructure development levels tested. Opossums exhibited a significant interaction between human footprint and playback treatment such that reductions in activity level in response to human playbacks were strongest at higher levels of building density. Our results indicate that, rather than habituating to human presence some mesopredators retain a strong fear of humans or become more fearful when inhabiting more developed areas. We suggest that consistently high responsiveness to immediate human presence may benefit mesopredators living in human-dominated landscapes by mitigating the risk of anthropogenic mortality. Mesopredators remain fearful of humans, whether they are in remote, protected areas, or in the backyards of densely populated suburbs. Using an experimental approach, we show that bobcats and striped skunks exhibit a consistent fear response to people, regardless of level of human footprint. Meanwhile, Virginia opossums exhibit heightened fear in areas of high human disturbance. Maintaining a strong fear response to humans may help mesopredators coexist in human-dominated landscapes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1093/beheco/arab150,,JAN 2022,,,,Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Zoology,,,,,,,2022-04-02,
J,"Cromsigt, JPGM; Kuijper, DPJ; Adam, M; Beschta, RL; Churski, M; Eycott, A; Kerley, GIH; Mysterud, A; Schmidt, K; West, K",,,,"Cromsigt, Joris P. G. M.; Kuijper, Dries P. J.; Adam, Marius; Beschta, Robert L.; Churski, Marcin; Eycott, Amy; Kerley, Graham I. H.; Mysterud, Atle; Schmidt, Krzysztof; West, Kate",,,Hunting for fear: innovating management of human-wildlife conflicts,JOURNAL OF APPLIED ECOLOGY,,,English,Letter,,,,,,apex predators; behaviourally mediated trophic cascades; ecology of fear; ecosystem impacts of large herbivores; large carnivores; nonlethal risk effects; predation risk; top-down control; ungulate management,ANTIPREDATOR RESPONSE; PREDATION; RISK; DEER; ELK; LANDSCAPE; SELECTION; WOLVES; ECOLOGY; MAMMALS,"There is a growing theoretical basis for the role of predation risk as a driver of trophic interactions, conceptualized as the ecology of fear'. However, current ungulate management ignores the role of nonlethal risk effects of predation. We introduce the concept of hunting for fear' as an extension of the more classical hunting to kill' that is typically used in large herbivore management. Hunting for fear aims to induce a behavioural response in ungulates, for example, as a way of diverting them from areas where their impact is undesired. Synthesis and applications. Hunting for fear asks for novel, potentially controversial, ways of hunting to induce strong enough risk effects, including more hunting on foot and with dogs, extended hunting seasons (ideally year-round) and increased hunting of calves. Hunting for fear may offer novel opportunities to help manage the growing humanwildlife conflicts that we experience globally.",,,,,,,,,,,,,,,,,,,,,,,JUN,2013,50,3,,,,,544,549,,10.1111/1365-2664.12076,,,,,,Biodiversity & Conservation; Environmental Sciences & Ecology,,,,,,,2022-04-02,
J,"Suraci, JP; Clinchy, M; Zanette, LY; Wilmers, CC",,,,"Suraci, Justin P.; Clinchy, Michael; Zanette, Liana Y.; Wilmers, Christopher C.",,,Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice,ECOLOGY LETTERS,,,English,Article,,,,,,Ecology of fear; human impacts; landscape of fear; large-scale field manipulation; playback experiment,LARGE CARNIVORES; BEHAVIORAL-RESPONSES; HUMAN DISTURBANCE; PREY RESPONSES; RISK; WILDLIFE; CONSEQUENCES; COEXISTENCE; PATTERNS; OVERLAP,"Apex predators such as large carnivores can have cascading, landscape-scale impacts across wildlife communities, which could result largely from the fear they inspire, although this has yet to be experimentally demonstrated. Humans have supplanted large carnivores as apex predators in many systems, and similarly pervasive impacts may now result from fear of the human 'super predator'. We conducted a landscape-scale playback experiment demonstrating that the sound of humans speaking generates a landscape of fear with pervasive effects across wildlife communities. Large carnivores avoided human voices and moved more cautiously when hearing humans, while medium-sized carnivores became more elusive and reduced foraging. Small mammals evidently benefited, increasing habitat use and foraging. Thus, just the sound of a predator can have landscape-scale effects at multiple trophic levels. Our results indicate that many of the globally observed impacts on wildlife attributed to anthropogenic activity may be explained by fear of humans.",,,,,,,,,,,,,,,,,,,,,,,OCT,2019,22,10,,,,,1578,1586,,10.1111/ele.13344,,JUL 2019,,,,Environmental Sciences & Ecology,,,,,,,2022-04-02,
J,"Stankowich, T; Blumstein, DT",,,,"Stankowich, T; Blumstein, DT",,,Fear in animals: a meta-analysis and review of risk assessment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,English,Article,,,,,,anti-predator behaviour; fear; flight initiation distance; meta-analysis; risk perception,DANIO BRACHYDANIO-RERIO; HUMAN DISTURBANCE; ESCAPE RESPONSE; SCHOOLING BEHAVIOR; FLIGHT-INITIATION; BLACK IGUANAS; DISTANCE; PREDATION; CNEMIDOPHORUS; WATERBIRDS,"The amount of risk animals perceive in a given circumstance (i.e. their degree of 'fear') is a difficult motivational state to study. While many studies have used flight initiation distance as a proxy for fearfulness and examined the factors influencing the decision to flee, there is no general understanding of the relative importance of these factors. By identifying factors with large effect sizes, we can determine whether anti-predator strategies reduce fear, and we gain a unique perspective on the coevolution of predator and anti-predator behaviour. Based on an extensive review and formal meta-analysis, we found that predator traits that were associated with greater risk (speed, size, directness of approach), increased prey distance to refuge and experience with predators consistently amplified the perception of risk (in terms of flight initiation distance). While fish tolerated closer approach when in larger schools, other taxa had greater flight initiation distances when in larger groups. The presence of armoured and cryptic morphologies decreased perception of risk, but body temperature in lizards had no robust effect on flight initiation distance. We find that selection generally acts on prey to be sensitive to predator behaviour, as well as on prey to modify their behaviour and morphology.",,,,,,,,,,,,,,,,,,,,,,,DEC 22,2005,272,1581,,,,,2627,2634,,10.1098/rspb.2005.3251,,,,,,Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology,,,,,,,2022-04-02,
J,"Smith, JA; Suraci, JP; Clinchy, M; Crawford, A; Roberts, D; Zanette, LY; Wilmers, CC",,,,"Smith, Justine A.; Suraci, Justin P.; Clinchy, Michael; Crawford, Ayana; Roberts, Devin; Zanette, Liana Y.; Wilmers, Christopher C.",,,Fear of the human 'super predator' reduces feeding time in large carnivores,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,English,Article,,,,,,ecology of fear; indirect effects; playback experiment; Puma concolor; risk-foraging trade-off; trophic cascade,BEHAVIORAL-RESPONSES; TROPHIC CASCADE; RISK; PREY; CUES; LANDSCAPES; SONGBIRDS,"Large carnivores' fear of the human 'super predator' has the potential to alter their feeding behaviour and result in human-induced trophic cascades. However, it has yet to be experimentally tested if large carnivores perceive humans as predators and react strongly enough to have cascading effects on their prey. We conducted a predator playback experiment exposing pumas to predator (human) and non-predator control (frog) sounds at puma feeding sites to measure immediate fear responses to humans and the subsequent impacts on feeding. We found that pumas fled more frequently, took longer to return, and reduced their overall feeding time by more than half in response to hearing the human 'super predator'. Combined with our previous work showing higher kill rates of deer in more urbanized landscapes, this study reveals that fear is the mechanism driving an ecological cascade from humans to increased puma predation on deer. By demonstrating that the fear of humans can cause a strong reduction in feeding by pumas, our results support that non-consumptive forms of human disturbance may alter the ecological role of large carnivores.",,,,,,,,,,,,,,,,,,,,,,,JUN 28,2017,284,1857,,,,,,,20170433,10.1098/rspb.2017.0433,,,,,,Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology,,,,,,,2022-04-02,
J,"Kuijper, DPJ; Bubnicki, JW; Churski, M; Mols, B; van Hooft, P",,,,"Kuijper, Dries P. J.; Bubnicki, Jakub W.; Churski, Marcin; Mols, Bjorn; van Hooft, Pim",,,Context dependence of risk effects: wolves and tree logs create patches of fear in an old-growth forest,BEHAVIORAL ECOLOGY,,,English,Article,,,,,,Bialowieza Primeval Forest; Canis lupus; Cervus elaphus; escape impediment; landscapes of fear; predation risk,BIALOWIEZA-PRIMEVAL-FOREST; PREDATOR-PREY INTERACTIONS; MEDIATED TROPHIC CASCADE; CANIS-LUPUS; ROE DEER; ANTIPREDATOR RESPONSE; YELLOWSTONE ECOSYSTEM; BEHAVIORAL-RESPONSES; TEMPORAL VARIATION; HABITAT SELECTION,"Large mammalian carnivores create areas perceived as having high and low risk by their ungulate prey. Human activities can indirectly shape this landscape of fear by altering behavior and spatial distribution of carnivores. We studied how red deer perceive the landscape of fear in an old-growth forest system (Bialowieza Primeval Forest, Poland) both at large and fine spatial scale. Camera traps were placed at locations with and without tree logs (fine-scale risk factor) and at different distances from the core of a wolf territory and human settlements (large-scale risk factor). Red deer avoided coming close to large tree logs and increased their vigilance levels when they were present in close vicinity. The strength of these effects depended on the distance to the wolf core area; deer perceived tree logs as more risky when wolves were more often present. Hence, tree logs inside wolf core areas create fine-scale patches of fear with reduced deer browsing pressure, thereby enhancing chances for successful tree recruitment. Human presence shapes this landscape of fear as wolf core areas are located far from human settlements. This human shadow on predator-prey interactions is therefore an important component that should be taken into account in human-dominated landscapes.",,,,,,,,,,,,,,,,,,,,,,,NOV-DEC,2015,26,6,,,,,1558,1568,,10.1093/beheco/arv107,,,,,,Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Zoology,,,,,,,2022-04-02,
J,"Gaynor, KM; McInturff, A; Brashares, JS",,,,"Gaynor, Kaitlyn M.; McInturff, Alex; Brashares, Justin S.",,,Contrasting patterns of risk from human and non-human predators shape temporal activity of prey,JOURNAL OF ANIMAL ECOLOGY,,,English,Article,,,,,,camera trap; hunting; landscape of fear; multiple predators; predator-prey; risk trade-offs,BEHAVIORAL-RESPONSES; HABITAT SELECTION; HUNTING MODE; ROE DEER; FEAR; LANDSCAPE; ECOLOGY; MORTALITY; WOLVES; LYNX,"Spatiotemporal variation in predation risk arises from interactions between landscape heterogeneity, predator densities and predator hunting mode, generating landscapes of fear for prey species that can have important effects on prey behaviour and ecosystem dynamics. As widespread apex predators, humans present a significant source of risk for hunted animal populations. Spatiotemporal patterns of risk from hunters can overlap or contrast with patterns of risk from other predators. Human infrastructure can also reshape spatial patterns of risk by facilitating or impeding hunter or predator movement, or deterring predators that are themselves wary of humans. We examined how anthropogenic and natural landscape features interact with hunting modes of rifle hunters and mountain lions Puma concolor to generate spatiotemporal patterns of risk for their primary prey. We explored the implications of human-modified landscapes of fear for Columbian black-tailed deer Odocoileus hemionus columbianus in Mendocino County, California. We used historical harvest records, hunter GPS trackers and camera trap records of mountain lions to model patterns of risk for deer. We then used camera traps to examine deer spatial and temporal activity patterns in response to this variation in risk. Hunters and mountain lions exhibited distinct, contrasting patterns of spatiotemporal activity. Risk from rifle hunters, who rely on long lines of sight, was highest in open grasslands and near roads and was confined to the daytime. Risk from mountain lions, an ambush predator, was highest in dense shrubland habitat, farther from developed areas, and during the night and crepuscular periods. Areas of human settlement provided a refuge from both hunters and mountain lions. We found no evidence that deer avoided risk in space at the scale of our observations, but deer adjusted their temporal activity patterns to reduce the risk of encounters with humans and mountain lions in areas of higher risk. Our study demonstrates that interactions between human infrastructure, habitat cover and predator hunting mode can result in distinct spatial patterns of predation risk from hunters and other predators that may lead to trade-offs for prey species. However, distinct diel activity patterns of predators may create vacant hunting domains that reduce costly trade-offs for prey. Our study highlights the importance of temporal partitioning as a mechanism of predation risk avoidance.",,,,,,,,,,,,,,,,,,,,,,,JAN,2022,91,1,,,,,46,60,,10.1111/1365-2656.13621,,NOV 2021,,,,Environmental Sciences & Ecology; Zoology,,,,,,,2022-04-02,
J,"Lodberg-Holm, HK; Gelink, HW; Hertel, AG; Swenson, E; Domevscik, M; Steyaert, SMJG",,,,"Lodberg-Holm, H. K.; Gelink, H. W.; Hertel, A. G.; Swenson, E.; Domevscik, M.; Steyaert, S. M. J. G.",,,A human-induced landscape of fear influences foraging behavior of brown bears,BASIC AND APPLIED ECOLOGY,,,English,Article,,,,,,Brown bears; Bilberries; Foraging behavior; Human induced mortality; Hunting; Landscape of fear; Ursus arctos; Vaccinium myrtillus,BILBERRY VACCINIUM-MYRTILLUS; YELLOWSTONE-NATIONAL-PARK; HABITAT SELECTION; PREDATION RISK; URSUS-ARCTOS; FOREST; POPULATION; PATTERNS; STRATEGY; WOLVES,"Animals adapt their foraging behavior to variations in food availability and predation risk. In Sweden, brown bears (Ursus arctos) depend on a nearly continuous intake of berries, especially bilberries (Vaccinium myrtilius) during late summer and early autumn to fatten up prior to hibernation. This overlaps with the bear hunting season that starts on 21 August. Bilberry occurrence varies across space, as does human-induced mortality risk. Here, we hypothesize that brown bears select for areas with a high probability of bilberry occurrence across a boreal forest ecosystem in Sweden (H1), and that human-induced mortality risk reduces bear selection for bilberries (H2). In addition, we hypothesized that hears that survived the hunting season avoided bilberry areas associated with high risk, whereas bears that were later killed selected more strongly for berries and less against risk prior to the hunting season (H3). To evaluate our hypotheses, we used resource selection functions to contrast bear GPS relocation data (N = 3 5, 2012-2015) and random positions within the bears home range with generalized linear mixed effect models against two focal variables: a map predicting bilberry occurrence and a map predicting human-induced mortality risk. We found that bears selected for areas with a high probability of bilberry occurrence (supporting H1), but avoided these areas if they were associated with and high risk of hunting mortality (supporting H2). The killed and surviving bears did not differ in their selection for bilberries, hut they did differ in their selection against risk (partially supporting H3). Surviving bears strongly avoided high risk areas, whereas killed hears responded less to risk and selected for high-risk areas with a low probability of bilberry occurrence. This suggests that killed bears selected for other food sources than berries in high risk areas, which exposed them to human hunters. We conclude that bears respond to a landscape of fear during the berry season and that different foraging strategies may have a direct impact on individual mortality during the hunting season. (C) 2018 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,MAR,2019,35,,,,,,18,27,,10.1016/j.baae.2018.12.001,,,,,,Environmental Sciences & Ecology,,,,,,,2022-04-02,
